년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20010216,보이 클럽,이젠,male,댄스,-,김민지 (Jam Factory),김민수,-,-
20020327,보이 클럽,난 단지 그대가,male,댄스,-,강희윤,주민,-,힘들게 지내온 우리의 숱한 약속들 사랑이라는 작은 기찰 타고 스쳐지나온 저 넓은 세상을 보며 때론 운적도 많았지만 가끔은 좋을 때도 있었지 혹시 그때 생각나 서로 두 손 꼭 잡고 했던 말 언제까지 지금처럼만 서롤 믿고 아끼자던 아직도 난 기억해 해맑았던 너의 눈빛 숨결을 장난처럼 말한 짧았던 맹세지만 다짐했었지 비가 오면 너의 우산이 되어 줄꺼라고 구멍이 나서 또록 또록 비에 젖으면 또 따뜻하게 안아 줄꺼라고 니 예쁜 두 눈에 눈물이 가득 차면 함께 포갰던 손으로 닦아 줄꺼라고 그렇게 영원히 니 곁에 있을 꺼라고 지나쳐버린 우리의 과거속에는 쌓인 아픔도 많았지만 그리운 시간들도 있잖아 그대 아직도 힘든가요 그럼 내손에 그대의 걱정과 슬픔을 다 포개어봐요 눈감고 우리 미랠 느껴봐 baby 비가 오면 너의 우산이 되어 줄꺼라고 구멍이 나서 또록 또록 비에 젖으면 또 따뜻하게 안아 줄꺼라고 니 예쁜 두 눈에 눈물이 가득 차면 함께 포갰던 손으로 닦아 줄꺼라고 그렇게 영원히 니 곁에 있을꺼라고 oh It's a miracle to me 단지 그대가 내곁에 있단 그 이유 그이유 하나로 난 행복한걸
20020327,보이 클럽,초록비,male,댄스,-,-,-,-,My love my baby I just want you to know that I still love you and I still miss you 베갯잎이 흠뻑 젖은 새벽에 어둠 마저 나를 덮을 때 그대가 없단 사실 그것마저 나의 가슴에 쏟아질 때 참기가 나 너무나도 힘들어 차라리 웃어보지만 비웃기라도 하듯 그대 그리움은 내 마음속에 더욱 번지죠 You are the sunshine in my life and I thank you forever 저 기나긴 날 혼자 걸어갈 시간들이 두렵지만 믿어요 난 그대가 날 지켜줄 것을 초록빛 저 세상 넘어 내 삶이 멈추는 마지막까지 함께 해줘요 다만 내가 그댈 잊어 버리면 그대도 날 잊어요 잘가요 예쁜 내 사랑 언제나 날 잊어서는 안되요 내 안의 모든 길은 항상 그대 맘을 통해서 지나는걸 남은 세월이 또 흘러가고 세상에 모든게 변한다 해도 영원히 내 사랑은 그대 안에서만 행복하단 걸 잊지 말아요 You are the sunshine in my life and I thank you forever 저 기나긴 날 혼자 걸어갈 시간들이 두렵지만 믿어요 난 그대가 날 지켜줄 것을 초록빛 저 세상 넘어 내 삶이 멈추는 마지막까지 함께 해줘요 다만 내가 그댈 잊어 버리면 그대도 날 잊어요 지나간 시간 시간 돌아온 아픔 아픔 참아야 할 눈물이 눈물이 자꾸 자꾸 떨어져 너의 모습 조금씩 조금씩 지워져 가면 그렇게 그렇게 세월이 가면 그렇게 그렇게 Well about the love that I thought will never end Now that the fate is on your bare hand you know I'm sad I'm feeling bad I'm even getting mad And that's why baby I need you back 나 그대를 위해서 꼭 언제나 행복할께요 내 걱정은 하지 말아요 이렇게 잘 지내는 걸요 꿈이라고 생각할께 그대가 더 이상 나와 함께 할 수 없단걸 언제라도 내가 보고싶다면 내게 와 줄꺼라고 꿈이라고 생각할께 그대가 더 이상 나와 함께 할 수 없단걸 언제라도 내가 보고싶다면 내게 와 줄꺼라고 내게 와 줄꺼라고
20020327,보이 클럽,Tulip,male,댄스,-,주민,주민,-,-
20020327,보이 클럽,사랑해,male,댄스,-,주민,"변상현, 주민",-,너를 생각해 생각해 좋아해 좋아해 나의곁에있는 니가 니가 너무나 자랑 스러워 oh 우리 사랑하는 마음 그마음이 차츰차츰 쌓여쌓여 시간이 가면 우린 영원할꺼야 너를 사랑해 사랑해 영원히 넌 모를꺼야 내가 왜우는지 이게 다 모두 너 때문인걸 항상 힘들때도 또 기쁠때도 함께 해줘서 고마워 세상문을 열면 저마다 행복해 내맘을 열면 내맘도 그래 정말 이모든게 너 때문인걸 너에게 항상 감사해 니가 바라보는 그곳이 어디든 항상 니곁에서 함께할께 살다가 두눈에 눈물 고인데도 널 위해 찡그리지 않겠다고 약속해 세상의 행복을 모두다 하나로 묶을수만 있다면 니잠든 머리맡 화병속에 꽂아주고 싶어 니가 처음 겪는 그모든일들에 언제나 함께 할수 있기를 일기를 써가듯 우리사랑도 그렇게 쌓여가기를 oh 니가 바라보는 그곳이 어디든 항상 니곁에서 함께 할게 살다가 두눈에 눈물고인데도 나 항상 지금처럼 웃겠다고 약속해 사랑해 너만을 사랑해 니 손짓발짓 하나까지도 잠에서 깨어난 니모습도 모두 다 사랑해 사랑해 너만을 사랑해 니 손짓발짓 하나까지도 잠에서 깨어난 니모습도 모두 다 사랑해 잠에서 깨어난 니모습도 모두 다 사랑해 서랍속에 아주 오래된 기억 그 추억속에 때론 슬픈 기억 때론 즐거웠던 시간들로 가득 쌓여 있겠지만 하지만 아직은 열어보지마 그치만 아직도 우리에겐 많은 시간이 있어 가끔 헤어짐 슬플때도 있겠지만 우리지금보다 더 사랑하고 아껴 그래 우리 함께하면 괜찮을꺼야
20020327,보이 클럽,너의 집 앞에서,male,댄스,-,박찬일,주민,-,정말 날 사랑하니 지금이대로 괜찮은거야 어쩌면 후회할지도 몰라 참어려웠죠 그대맘을 거절하는 것이 해줄수 있는게 아무것도 없기에 난 가진게 없어 그저 선뜻 주는데로 그대사랑을 받는 단건 부족한 내욕심이라고 그건 나만의 욕심이였어 그댈 사랑하기 전에는 널알기전에는 알수없는 내모습이었죠 그대 왜 그렇게 어리석은지 나의 무엇이 그대의 눈을 멀게 했는진 모르지만 이제라도 나에게서 되돌아가요 더이상은 내맘이 그대 그대의 사랑을 보내지 않을지도 모르니까요 초라한 내모습을 왜 사랑하는지 그녈 붙잡고 있는건 내욕심인데 이젠 널 보내야하는데 널 보내야만 하는데 그대에게 어울리는 그사람에게 늦지 않게 어서빨리 돌아가세요 이젠 돌아가도되 그댈 사랑 하기전에는 널 알기전에 알수없는 내모습이었죠 그대 왜 그렇게 어리석은지 나의 무엇이 그대의 눈을 멀게 했는진 모르지만 이제라도 나에게서 되돌아가요 더이상은 내맘이 그대 그대의 사랑을 보내지 않을지도 모르니까요 불꺼진 그대 집 앞을 한참을 서성이다 왔죠 사실은 그대가 보고 싶었죠 보고싶어 그대 왜 그렇게 바보 같은지 정말 이대로 이것뿐인데 내가 어디가 좋은가요 나의 집앞에 웃으며 서있는그대 더이상은 말할수 없죠 그대의 사랑을 이제는 두번 다시 보내지 않아 그대만을 사랑할께요 언제나 그대 곁에서 널 사랑해
20020327,보이 클럽,Conflict In Me,male,댄스,-,강희윤,주민,-,-
20020327,보이 클럽,My Girl,male,댄스,-,주민,"강희윤, 주민",-,-
20020327,보이 클럽,지킬수 없는 약속,male,댄스,-,주민,주민,-,-
20020327,보이 클럽,너의 향기를 느끼며,male,댄스,-,주민,"강희윤, 주민",-,-
20020327,보이 클럽,오! 사랑,male,댄스,-,박찬일,주민,-,-
20020327,보이 클럽,초록비 (Inst.),male,댄스,-,-,-,-,-
20010216,보이 클럽,Boy Club,male,댄스,-,Boy Club,이형곤,-,-
20010216,보이 클럽,The Guy,male,댄스,-,김영아,신인수,-,-
20010216,보이 클럽,Always,male,댄스,-,홍재선,홍재선,-,Think I'm always in your life 내 모든것을 주겠어 지난날도 미래도 다 보여줄게 나의 작은 소망 하나까지도 너와 함께 이뤘으면 해 생각하지 말아줘 아픔들의 거울속 니가 있는 그곁에 날 데려가줘 워 워 바다속에 던져진 나만의 외로움이 끝날때까지 함께 있어줘 꿈에 있어줘 사랑하는 날까지 Sometime my love 난 그대의 저 햇살같은 사랑을 뿌려주는 세상의 단 하나밖에 없는 슬픈 사랑 느낄 수 있겠니 지금 이 순간을 언제나 포근한 엄마의 품처럼 넌 언제나 날 반겨주곤 했지 너의 그 아름다운 미소 영원히 너의 그 아름다운 마음 영원히 일기장 속 우리 사랑 얘기가 나의 꿈에서 남아 두팔벌려 너를 안고 싶어 그 속에 너를 느끼고 싶어 너를 지켜줄거야 너를 위해 아껴왔던 사랑 나의 사랑 come on love 나나나나나나나 나나나 나나나나 나나나나나나나 나나나나나나 Think I'm always in your life 너와 아름답게 살겠어 헤어지고 아파도 너만이 중요해 우리 작은 사랑 언제나 영원히 함께할거라 난 믿어 바다속에 던져진 나만의 외로움이 끝날때까지 함께 있어줘 꿈에 있어줘 사랑하는 날까지 Sometime my love 난 그대의 저 햇살같은 사랑을 뿌려주는 세상의 단 하나밖에 없는 슬픈 사랑 느낄 수 있겠니 sometime my love 난 그대의 저 햇살같은 사랑을 뿌려주는 세상의 단 하나밖에 없는 슬픈 사랑 느낄 수 있겠니 지금 이 순간 모든걸 욕심없는 내 순수한 사랑을 받아줘
20010216,보이 클럽,Mam,male,댄스,-,Boy Club,주민,-,-
20010216,보이 클럽,Night,male,댄스,-,홍재선,홍재선,-,-
20010216,보이 클럽,Beautiful Day,male,댄스,-,Boy Club,주민,-,-
20010216,보이 클럽,추억의 끝에 서서,male,댄스,-,Boy Club,주민,-,-
20010216,보이 클럽,첫눈에 반한 사랑,male,댄스,-,Boy Club,이용민,-,-
20010216,보이 클럽,다시,male,댄스,-,Boy Club,홍재선,-,아무것도 이젠 필요없는 것 이제것 나의것 너의 모든것 기억조차 할수없는 것 너의 기억조차 잊어버린것 떠나가는 너의 뒷모습은 더욱 초라해진 너의 뒷모습은 마치 서로 다른 타인같이 그저 지나치는 타인같이 너를 떠나야 하는 나 숨쉬기조차 힘든 혼자가 되는건 괜찮아 내가 차라리 너보다 아프면되 너를 걱정해 오늘밤 집에 돌아와 텅빈 공간의 적막이 너에게 힘이들까봐 전활 걸려했어 정말 힘이들면 얘기해 잠시 너의 곁에 있을게 오래머물순 없는 시간이지만 한번더 너의곁에 머물수 있는 시간이 필요해 이별이 뭐 그리 꼭 중요해 다시 생각하면 돼 나와 수없이 되풀이 된 연인들처럼 또 다시 시작해 이제는 솔로가 되는건 내가 용서할수 없기에 멀리 떠나버린 너의모습 왜 내게다시 네 모습보여지니 왜 니 떠나가는 니모습 행복해 보였는데 다시 처음으로 돌아와 슬픔에 젖어 힘들어하는 너의 그런 모습 이해못해 아파하는 너의 모습 이해못해 정말 힘이들면 얘기해 잠시 너의 곁에 있을게 오래 머물순 없는 시간이지만 한번더 너의곁에 머물수 있는 시간이 필요해 이별이 뭐 그리 꼭 중요해 다시 생각하면 돼 나와 수없이 되풀이 된 연인들 처럼 또다시 시작해 이제는 솔로가 되는건 내가 용서할수 없기에 한번더 너의곁에 머물수 있는 시간이 필요해 이별이 뭐 그리 꼭 중요해 다시 생각하면돼 나와 수없이 되풀이된 연인들처럼 또다시 시작해 이제는 솔로가 되는건 내가 용서할 수 없기에
20010216,보이 클럽,이젠,male,댄스,-,김민지 (Jam Factory),김민수,-,-
