년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20011024,보이스코,두근두근,female,댄스,-,-,-,-,ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 이제야 내게 왔니 바보 같은 내사랑 우 워~ ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 널 보면 떨린 내맘 나 고백 할래 너를 만나기로 한 시간은 다가오고  떨리는 내맘 감출 수 없어 너를 생각만 해도 두근거리는  내맘 어쩌면 좋아 사랑에 빠졌어 다가 와줘 좀 더 가까이~ 날 안아줘 네 품속에 OH MY LOVE 따스하게 우 워~ 꼭 안아줘  ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 널 보면 떨린 내맘 나 고백 할래 너를 만나기로 한 시간은  다가오고 떨리는 내맘 감출 수 없어 너를 생각만 해도 두근거리는  내맘 어쩌면 좋아 사랑에 빠졌어 다가 와줘 좀 더 가까이~ 날 안아줘 네 품속에 OH MY LOVE 따스하게 우 워~  달콤하게 OH MY LOVE 꼭 안아줘
20011024,보이스코,왔어,female,댄스,-,-,-,-,정말로 미안하게 됐어 사랑하게 됐어  단한번의 사랑에 빠진거야  한번도 느껴본적 없어 너에게는 없어  나를 잡은 그에게 빠졌어 왔어  헤어지고 돌아오던 거리에 첨으로 이상형을 만났어  나를 보던 시선을 난 피했지 돌아서서 후회했어  다음날도 그애와 난 만났어 우연을 가장했던 나였어  천천히 넌 다가와서 나에게 속삭였어  사랑하는 남자친구 있냐고  나도 나를 이해하기 힘들어  나만을 아껴준 그렇게 고마웠던 너의 얼굴을  그애의 말을 듣는 순간 잊어버렸어  하지만 어떻게 기회는 한 번뿐 없다고 말했어  너와의 이별을 난 상상하면서  날 너무 야속하다 하지마  정말로 미안하게 됐어 사랑하게 됐어  단 한번의 사랑에 빠진거야  한번도 느껴본적 없어 너에게는 없어  나를 잡은 그에게 빠진거야  내가 준비했던 꼭꼭 숨겨감춰왔던 그말  많이 망설였어 많이 생각했어  지금부터 내얘기 잘들어  가면갈수록 깊어만가는 그에 대한 사랑 난 포기못해  너와나 어울리지 않아  그냥 이대로 날떠나 잊어버려 지워버려  그애와 나 또 만났던 거리에 우연히 너의 모습 보았어  누구냐고 묻는 말에 천천히 대답했어  사랑했던 예전 친구 였다고  나도 나를 이해하기 힘들어  그렇게 따뜻한 나만을 지켜주던 너의 사랑을  그애가 내게 오는 순간 지워버렸어  하지만 어떻게 기회는 한번뿐 미련은 없었어  헤어질 이유를 난 상상하면서  날 너무 야속하다 하지마
20011024,보이스코,Breaking My Heart,female,댄스,-,-,-,-,-
20011024,보이스코,산,female,댄스,-,-,-,-,-
20011024,보이스코,깻잎소녀,female,댄스,-,-,-,-,지각이다 당당한 나 내무릎이 드러나 두번 말아 짧은 내치마 아저씨가 쳐다보면 재수없고 오늘 숙제역시 모르고 텅빈 가방 텅빈 머리 삔으로 꽂아 붙인 내 머리 뒤져봐 찾아봐 어딜 봐도 없어 다시 찾아봐 내 가슴안에 있지 숨어있지 불가능한 일이란 건 세상에는 없지 오늘도 화장실의 완전 범죄 모락모락 피어오르는 연기 듣기싫은 수업시간 탈출해 쉬는 시간에 몰래 도망가 전철역 안에 있는 사물함에 있는 옷가지들 화장실에 들어가 화장하고 담배한대 피고 가발쓰고 다시 한번 거울보고 내나이몇살? 뭘봐 니가 날 알아 누가 물어봐 난 항상(원래이래뭐래) X 3 모두 날 욕하지마 나만의 방식인걸 누구도 구속할 수 없는 나인데 내멋대로 살게 날 내버려둬 어딜가요 이봐 잠깐 내말좀 들어봐 이리와 딱좋아 죽이는데 다리 섹시한데 거기 너희들의 이름 뭐니 몇살 지금 학교 안가 안가면 오빠랑 놀러가 쟤네 왜이래 뭐래 꼴에 볼줄 아네 귀엽게 생겼네 멘트날렸네 니네 몇살인데 시간은 있는데 왜 뭐하게 술마시게 하긴 날 보면 모두들 뻑가지 그대도 역시 모두 뻑갔지 뻑가긴 누가 뻑갔다 그래 니 딱붙는 빽치마도 피마자기름으로 발라붙인 머리 또 새부리처럼 올라간 니 구두 두눈뜨고 못봐주지만 니가먼저 눈길 보냈길래 이러는데 이제와서 왜 튕기려고해 뭘 그렇게 서로 궁시렁대 굳이 그렇게 작전 짤 필요없잖아 이미 다 알건 알잖아 이리와 같은 선수끼리 대체 왜이래 이리와 내게와 맘껏 즐겨 오늘하루 재껴 발라붙인 니머리가 흐트러질 때까지 뭘봐 니가 날 알아 누가 물어봐 난 항상(원래이래뭐래) X 3 모두날욕하지마 나만의 방식인걸 누구도 구속할 수 없는 나인데 내멋대로 살게 날 내버려둬 뭘봐 니가 날 알아 누가 물어봐 난 항상 (원래이래뭐래) X 3 늦은밤 이젠 집으로가 엄마 깰까 나 조심스럽게 들어가 모두 자나 희미한 불빛 아래 누군가있네 우리 엄마 맞나 울고있는 엄마 너무나 놀란 나 뭉클해지는 내맘 (엄마 죄송해요) 모두날욕하지마 나만의 방식인걸 누구도 구속할수없는나인데 내멋대로살게 날 모두날욕하지마 나만의 방식인걸 누구도 구속할수없는나인데 내멋대로살게 날 내버려둬
20011024,보이스코,Voixco Dance,female,댄스,-,-,-,-,-
20011024,보이스코,Show Me Love,female,댄스,-,-,-,-,조금씩 니맘에 날 채워주겠니 you know I love you  You show me love 또 내가 지쳐 외로울 때면  내맘 말 안해도 지켜줄 수 있는 연인이 되어줘 널 좋아한단 말로 성급했던 내 모습  널 아직 이해 못하는 내맘이 좀 부족한걸까  사랑한다는 말로 부담주는건 아닌지  미안해 그녈 잊지못하는 너를 이제야 알았어  그대에게 내가 너에게 하고싶었던 그말  정말 내가 너에게 해주고 싶었던 사랑  그때 내가 너에게 보여주었던  사실은 간직하기에도 혼자 갖기에도  너의 그 눈속엔 넌 아직 그녀의 모습만이 비춰져  내맘을 슬프게해 Show me love 내맘 이렇게 애타지 않게  조금씩 니맘에 날 채워주겠니  you know I love you (Show Me Love) 말못했죠 나 바라만 봤죠  그댈 사랑한다고 말하면 그대 나의 곁을 떠날까봐  나 그게 두려워서 늘 그대 곁에서 맴돌기만 했죠  하지만 이젠 나 말할거야 정말로 사랑한다고  그대없이 살수가 없다고 그대가 나의 삶의 전부라고  이런 나의 마음을 알아달라고  나만 바라봐주길 애원하는건 아닌지 미안해 그녈 잊지 못하는 너를 이제야 알았어
20011024,보이스코,Intro,female,댄스,-,-,-,-,-
20011024,보이스코,하루만,female,댄스,-,-,-,-,흘리게 했던 지난날을 아직 잊을수 없어 너와나  같이 함께 했던 추억 잊을수 없던 그 기억  그러나 이젠 너의 마음속에 비집고 들어갈 조그마한 하 공간조차 남지 않은 이 순간에 나 눈물로 호소하네  이제는 그대만을 그리네 생각해 바라네 지난 슬픔과 벽을 쌓은거야 그건 내가 널 잊었단 얘기야  올수 없는 사랑을 돌아보며 울기는 싫었어 I Love baby your eyes 추억 속에 머물지마 내곁에 와줘 오늘 단 하루만 다 지난 일인데  왜 다시 너인지 니가 없는 내가 혼자 라는게 오늘은 너무 힘들어  나의 선물로 돌아와줘 오늘 단 하루만.. 내게 말해주던 진정한 사랑을  이제서야 느낀 이런 맘을  왜 그땐 그렇게 알수 없는 말만  해대며 니 맘에 상처를 남겼는지 이젠 미안해 라는 말밖에  할수 없는 나를 이제 용서해 너에게 돌아가고 싶은 나에게  제발 한번더 기회를 부탁해 받아 주길 바래 이젠 정말 사랑해 I Love baby your eyes 추억속에 머물지마  내곁에 와줘 너만을 바라봐가면서 지내왔던  옛시간을 후회하며 지난날을 이젠 용서해 내눈을 보면서 어쩔줄  모르는 사람들 위로가 내게와 아무일 아닌듯 난 겨우 미소로  슬픔 닦으며 다시 널 지워가 오늘 단 하루만 다 울어 버릴께  날 위한 눈물로 내일 부터 다시 웃을수 있게 기대울 니가 필요해 너의 어깨를 내게 줘 오늘 단 하루만... 기대울 니가 필요해
20011024,보이스코,깻잎소녀,female,댄스,-,-,-,-,지각이다 당당한 나 내무릎이 드러나 두번 말아 짧은 내치마 아저씨가 쳐다보면 재수없고 오늘 숙제역시 모르고 텅빈 가방 텅빈 머리 삔으로 꽂아 붙인 내 머리 뒤져봐 찾아봐 어딜 봐도 없어 다시 찾아봐 내 가슴안에 있지 숨어있지 불가능한 일이란 건 세상에는 없지 오늘도 화장실의 완전 범죄 모락모락 피어오르는 연기 듣기싫은 수업시간 탈출해 쉬는 시간에 몰래 도망가 전철역 안에 있는 사물함에 있는 옷가지들 화장실에 들어가 화장하고 담배한대 피고 가발쓰고 다시 한번 거울보고 내나이몇살? 뭘봐 니가 날 알아 누가 물어봐 난 항상(원래이래뭐래) X 3 모두 날 욕하지마 나만의 방식인걸 누구도 구속할 수 없는 나인데 내멋대로 살게 날 내버려둬 어딜가요 이봐 잠깐 내말좀 들어봐 이리와 딱좋아 죽이는데 다리 섹시한데 거기 너희들의 이름 뭐니 몇살 지금 학교 안가 안가면 오빠랑 놀러가 쟤네 왜이래 뭐래 꼴에 볼줄 아네 귀엽게 생겼네 멘트날렸네 니네 몇살인데 시간은 있는데 왜 뭐하게 술마시게 하긴 날 보면 모두들 뻑가지 그대도 역시 모두 뻑갔지 뻑가긴 누가 뻑갔다 그래 니 딱붙는 빽치마도 피마자기름으로 발라붙인 머리 또 새부리처럼 올라간 니 구두 두눈뜨고 못봐주지만 니가먼저 눈길 보냈길래 이러는데 이제와서 왜 튕기려고해 뭘 그렇게 서로 궁시렁대 굳이 그렇게 작전 짤 필요없잖아 이미 다 알건 알잖아 이리와 같은 선수끼리 대체 왜이래 이리와 내게와 맘껏 즐겨 오늘하루 재껴 발라붙인 니머리가 흐트러질 때까지 뭘봐 니가 날 알아 누가 물어봐 난 항상(원래이래뭐래) X 3 모두날욕하지마 나만의 방식인걸 누구도 구속할 수 없는 나인데 내멋대로 살게 날 내버려둬 뭘봐 니가 날 알아 누가 물어봐 난 항상 (원래이래뭐래) X 3 늦은밤 이젠 집으로가 엄마 깰까 나 조심스럽게 들어가 모두 자나 희미한 불빛 아래 누군가있네 우리 엄마 맞나 울고있는 엄마 너무나 놀란 나 뭉클해지는 내맘 (엄마 죄송해요) 모두날욕하지마 나만의 방식인걸 누구도 구속할수없는나인데 내멋대로살게 날 모두날욕하지마 나만의 방식인걸 누구도 구속할수없는나인데 내멋대로살게 날 내버려둬
20011024,보이스코,Show Me Love,female,댄스,-,-,-,-,조금씩 니맘에 날 채워주겠니 you know I love you  You show me love 또 내가 지쳐 외로울 때면  내맘 말 안해도 지켜줄 수 있는 연인이 되어줘 널 좋아한단 말로 성급했던 내 모습  널 아직 이해 못하는 내맘이 좀 부족한걸까  사랑한다는 말로 부담주는건 아닌지  미안해 그녈 잊지못하는 너를 이제야 알았어  그대에게 내가 너에게 하고싶었던 그말  정말 내가 너에게 해주고 싶었던 사랑  그때 내가 너에게 보여주었던  사실은 간직하기에도 혼자 갖기에도  너의 그 눈속엔 넌 아직 그녀의 모습만이 비춰져  내맘을 슬프게해 Show me love 내맘 이렇게 애타지 않게  조금씩 니맘에 날 채워주겠니  you know I love you (Show Me Love) 말못했죠 나 바라만 봤죠  그댈 사랑한다고 말하면 그대 나의 곁을 떠날까봐  나 그게 두려워서 늘 그대 곁에서 맴돌기만 했죠  하지만 이젠 나 말할거야 정말로 사랑한다고  그대없이 살수가 없다고 그대가 나의 삶의 전부라고  이런 나의 마음을 알아달라고  나만 바라봐주길 애원하는건 아닌지 미안해 그녈 잊지 못하는 너를 이제야 알았어
20011024,보이스코,Lucky,female,댄스,-,-,-,-,-
20011024,보이스코,산,female,댄스,-,-,-,-,-
20011024,보이스코,Bye Bye,female,댄스,-,-,-,-,-
20011024,보이스코,두근 두근,female,댄스,-,-,-,-,ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 이제야 내게 왔니 바보 같은 내사랑 우 워~ ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 널 보면 떨린 내맘 나 고백 할래 너를 만나기로 한 시간은 다가오고  떨리는 내맘 감출 수 없어 너를 생각만 해도 두근거리는  내맘 어쩌면 좋아 사랑에 빠졌어 다가 와줘 좀 더 가까이~ 날 안아줘 네 품속에 OH MY LOVE 따스하게 우 워~ 꼭 안아줘  ONCE UNEASY LOVE MY HEART ALWAYS BE WITH YOU 널 보면 떨린 내맘 나 고백 할래 너를 만나기로 한 시간은  다가오고 떨리는 내맘 감출 수 없어 너를 생각만 해도 두근거리는  내맘 어쩌면 좋아 사랑에 빠졌어 다가 와줘 좀 더 가까이~ 날 안아줘 네 품속에 OH MY LOVE 따스하게 우 워~  달콤하게 OH MY LOVE 꼭 안아줘
20011024,보이스코,어떻게,female,댄스,-,-,-,-,그날 내게 했던 말 농담 섞인 말이란걸 몰랐니 단지 투정부리려 했을 뿐인데 내가 헤어지잔 말로 널 내가 다시 다가가기가 벅찬 널 이제와서 그런 내 자신이 미워서 원망스러워 그만한 남자 없다고 해보고 다독거리던 친구들 그래서 오히려 널 더 그립게 했고 안타깝게 느껴왔고 헤어지잔 말을 내가 먼저 했기에 어떻게 다시 돌아올수가 없는 너를 너무도 늦은 후회란걸 이젠 어떻게 하지만 아직 채워진 사람이라해도 마지막 까지 사랑할 사람은 너인데 헤어지던 날에 장면 모습에 한때 기억에 아픔만을 남기고 떠나간 널 이제 저기 멀리서서 묵묵히 다시 돌아오지 않을 것만 같이 시간이 흐르면 내 앞에서 커져만 가는 너 나 너 멀어져만 가는 너 영원히 널 잃게 될까 두려워하지 않을래 조바심내지 않을래 함께한 순간 기억해 영원히 널 잃게 될까 두려워하지 않을래 조바심내지 않을래 스치는 사람이라고 인연이 아니였었다고 또 쉽게 잊으려 노력도 해봤지만 오히려 잘된 일인지 몰라 사랑한게 마지막까지 사랑할 사람은 너인데 사랑해 저기 먼 하늘만 바라보는 잔잔한 바다처럼 마냥 그리고 흔들리지 않고 닿지 않아도 이대로라도 좋아 하지만 이내 숨기려했던 내맘 친구 통해 내가 기다린단 얘기듣고 나서 만나기가 너무나 두렵다 듣고 이제 더 이상 우리 사랑 닿지 않는 나란한 두선 하늘 바다같이
20011024,보이스코,Voixco Dance,female,댄스,-,-,-,-,-
20011024,보이스코,하루만 (Remix),female,댄스,-,-,-,-,흘리게 했던 지난날을 아직 잊을수 없어 너와나  같이 함께 했던 추억 잊을수 없던 그 기억  그러나 이젠 너의 마음속에 비집고 들어갈 조그마한 하 공간조차 남지 않은 이 순간에 나 눈물로 호소하네  이제는 그대만을 그리네 생각해 바라네 지난 슬픔과 벽을 쌓은거야 그건 내가 널 잊었단 얘기야  올수 없는 사랑을 돌아보며 울기는 싫었어 I Love baby your eyes 추억 속에 머물지마 내곁에 와줘 오늘 단 하루만 다 지난 일인데  왜 다시 너인지 니가 없는 내가 혼자 라는게 오늘은 너무 힘들어  나의 선물로 돌아와줘 오늘 단 하루만.. 내게 말해주던 진정한 사랑을  이제서야 느낀 이런 맘을  왜 그땐 그렇게 알수 없는 말만  해대며 니 맘에 상처를 남겼는지 이젠 미안해 라는 말밖에  할수 없는 나를 이제 용서해 너에게 돌아가고 싶은 나에게  제발 한번더 기회를 부탁해 받아 주길 바래 이젠 정말 사랑해 I Love baby your eyes 추억속에 머물지마  내곁에 와줘 너만을 바라봐가면서 지내왔던  옛시간을 후회하며 지난날을 이젠 용서해 내눈을 보면서 어쩔줄  모르는 사람들 위로가 내게와 아무일 아닌듯 난 겨우 미소로  슬픔 닦으며 다시 널 지워가 오늘 단 하루만 다 울어 버릴께  날 위한 눈물로 내일 부터 다시 웃을수 있게 기대울 니가 필요해 너의 어깨를 내게 줘 오늘 단 하루만... 기대울 니가 필요해
20011024,보이스코,Show Me Love,female,댄스,-,-,-,-,조금씩 니맘에 날 채워주겠니 you know I love you  You show me love 또 내가 지쳐 외로울 때면  내맘 말 안해도 지켜줄 수 있는 연인이 되어줘 널 좋아한단 말로 성급했던 내 모습  널 아직 이해 못하는 내맘이 좀 부족한걸까  사랑한다는 말로 부담주는건 아닌지  미안해 그녈 잊지못하는 너를 이제야 알았어  그대에게 내가 너에게 하고싶었던 그말  정말 내가 너에게 해주고 싶었던 사랑  그때 내가 너에게 보여주었던  사실은 간직하기에도 혼자 갖기에도  너의 그 눈속엔 넌 아직 그녀의 모습만이 비춰져  내맘을 슬프게해 Show me love 내맘 이렇게 애타지 않게  조금씩 니맘에 날 채워주겠니  you know I love you (Show Me Love) 말못했죠 나 바라만 봤죠  그댈 사랑한다고 말하면 그대 나의 곁을 떠날까봐  나 그게 두려워서 늘 그대 곁에서 맴돌기만 했죠  하지만 이젠 나 말할거야 정말로 사랑한다고  그대없이 살수가 없다고 그대가 나의 삶의 전부라고  이런 나의 마음을 알아달라고  나만 바라봐주길 애원하는건 아닌지 미안해 그녈 잊지 못하는 너를 이제야 알았어
20011024,보이스코,산 (Inst.),female,댄스,-,-,-,-,-
