년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20080428,에이스타일,내가 바보였어,male,발라드,-,-,-,-,아침이면 햇살처럼 나를 깨워 너의 그 흔적들 갑작스레 밀려온 그리움으로 다시 시작된 나의 하루 힘없이 웃고 있었지 내 방을 가득 메웠던 네가 내게 남긴 추억 한참을 쳐다보다가 울고 있는 나를 보네 내가 될 수 없던 너 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 이별을 말한 건 너였지 하지만 너를 떠나게 만든 건 나란 걸 내가 바보였어 힘없이 웃고 있었지 내 방을 가득 메웠던 네가 내게 남긴 추억 한참을 쳐다보다가 울고 있는 나를 보네 너를 채우기엔 부족했나봐 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 아무리 날 위로 해봐도 혼자라는 걸 깨달아 다신 널 찾을 수 없는 나였음을 하나 둘씩 널 태우고 있어 마지막 너와 함께 찍었었던 사진까지도 괜찮아 지겠지 내 가슴에 남겨졌던 그리움은 연기처럼 사라져 널 잊을게 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 이별을 말한 건 너였지 하지만 너를 떠나게 만든 건 나란 걸 나란 걸 내가 바보였어 보고싶어
20090416,에이스타일,Dynamite,male,댄스,-,-,-,-,1분 1초가 너무도 불안해 얼마나 지나야 괜찮아질까 예상을 벗어난 너의 행동에 매순간 순간이 아찔해져 와 겨우 하날 열면 두 개의 문이 생겨 가까이 가려 해도 허락지 않아 벗어날 수 없고 다가갈 수도 없어 지독한 매력이야 넌 Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 넌 내 마음에서 뻥 터진 Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 폭풍 같은 넌 Dynamite yeah yeah yeah yeah yeah yeah yeah yeah 그렇게 널 진심으로 대했던 난데 너 아니면 나는 안 되겠는데 왜 자꾸만 멀어져만 가는데 Monday Tuesday 기다려도 넌 Everyday 조금만 내게 맘을 열어줘 Come on 너의 남자가 될 기회를 줘 Say yes L O V E U Can't Deny A to the Star 1 What Well never stop 애써 포기하면 슬쩍 다가와 친근한 미소로 또 날 엮어 꼼짝도 못하게 잡혀버렸어 난 너의 매력에 걸려들었어 겨우 하날 열면 두 개의 문이 생겨 가까이 가려 해도 허락지 않아 벗어날 수 없고 다가갈 수도 없어 지독한 매력이야 넌 Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 넌 내 마음에서 뻥 터진 Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 폭풍 같은 넌 Dynamite 그녀는 불이 붙어버린 Dynamite 사랑이 타지 않게 불을 꺼줘 Fire Boy 감당이 안 돼 내안에 가두기엔 너무나 큰 그대 Wow 난 너의 꼭두각시 네게 다시 뺏긴 맘 찾아오기에는 Time Out 차라리 바람을 더 불어줘 사랑의 불꽃놀이로 Drop a Bomb Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 넌 내 마음에서 뻥 터진 Dynamite Dynamite Dynamite Dynamite Dynamite Dynamite come on 폭풍 같은 넌 Dynamite
20090416,에이스타일,내가 아니라,male,댄스,-,-,-,-,어떻게 잊었니 날 잊어버렸어 끝났어 내가 아니라 그게 내가 아니라 모두 내가 아니라 말해 모든게 내가 아니라고 누가뭐래도 그냥 다시 넌 내 곁으로  하루하루 견디곤 해 이렇게 지금 널 원해 화려한 조명속에 그대와 나란히 팔짱을 끼고 다정히 들어서요 꿈속에선 아직도 그대 곁은 바로 나인데 지금까지 바로 나였는데 그대와 사랑하는 그대와 이제 곁에 있는 그 사람은 내가 아니라 그게 내가 아니라 모두 내가 아니라 말해 모든게 내가 아니라고 누가 뭐래도 그냥 다시 넌 내 곁으로  하루하루 견디곤 해 이렇게 지금 널 원해 아무것도 못했어 그댈 지키지도 못했어 떠난 그댈 잡지도 못했어 그대가 나를 떠난 그대가 자꾸 생각나는 그리움에 oh 내가 아니라 그게 내가 아니라 모두 내가 아니라 말해 모든게 내가 아니라고 누가 뭐래도 그냥 다시 넌 내 곁으로  하루하루 견디곤 해 이렇게 지금 널 원해 아니라 해도 그게 아니라 해도 모두 아니라 해도 정말 모든게 아니라고 해도 이젠 늦었어 그냥 다시 넌 내 곁으로  매일매일 그리곤 해 이렇게 지금 널 원해 정말 모든게 꿈꾸는 꿈이 아니라 널 떠난게 내가 아니라 다 수근대는 말이 아니라 절대로 아니라 don't say goodbye 다 믿지말고 say a lie 다 나만 믿고 please don't lie 날 버리지 말아줘 babe babe 한번 더 기회를 줘 어쩌다가 둘이라서 좋았던 시간들이 더 그리울땐 난 시계만 쳐다보고 또 하룰 보내고 언젠가 그때엔 용서하는 그땐 돌아와줘 제발 내가 아니라 내가 아니라 그게 내가 아니라 모두 내가 아니라 말해 모든게 내가 아니라고 누가 뭐래도 그냥 다시 넌 내 곁으로  하루하루 견디곤 해 이렇게 지금 널 원해 아니라 해도 그게 아니라 해도 모두 아니라 해도 정말 모든게 아니라고 해도 이젠 늦었어 그냥 다시 넌 내 곁으로  매일매일 그리곤 해 이렇게 지금 널 원해
20090416,에이스타일,No More,male,댄스,-,-,-,-,"이제 알았어 너 떠난뒤에야  너의 마음이 서서히 식어갔다는걸  그땐 몰랐어 항상 웃었잖아  행복하게만 생각햇었어    너의 두 눈이 말하고 있다는걸  어떻게 내가 몰랐을까  나의 무관심에 화가 나    그렇게 힘이 드나요 날 떠나갈 만큼  왜 내겐 말하지 않았나요 단 한번도  이렇게 떠나버리면 더 이상 잘해주지도  다신 볼 수도, 미안하다는 말도 못 하잖아요    내게 돌아선 너의 뒷 모습을   차마 아직도 잊을 수 없어  단 하루라도 아니 일 분이라도  너를 만날 수만 있다면 이 말은 꼭 미안하다고    그렇게 힘이 드나요 날 떠나갈 만큼  왜 내겐 말하지 않았나요 단 한번도  이렇게 떠나버리면 더 이상 잘해주지도  다신 볼 수도, 미안하다는 말도 못 하잖아요    언제부터 우리 둘 사이 변한건지  항상 나는 그대로인데  그 동안 다 참아왔던 거라면  다시 한번만 날 이해해줘 돌아와 제발    그렇게 힘이 드나요 날 떠나갈 만큼  왜네게 멀어져 버렸나요 이제 와서  한번쯤 날 기억해요 한때는 사랑했던 날  이젠 더 이상 아프지 않도록 나 기도할래요"
20090416,에이스타일,빈칸 채우기,male,댄스,-,-,-,-,내게도 영화보다 멋진 날이 찾아 왔나봐 심장이 멍들도록 뛸 이유가 내게 왔나봐 이제야 알게 됐어 부족한 나였던 이유를 널 위한 빈자리를 남겨놨던 너란걸 Oh is you 외롭던 나의 가슴이 널 안고 행복에 차올라와 길었던 나의 하루가 이젠 난 턱없이 부족해 너 하나를 알고서 가득 찬 내 세상을 너에게 선물할게 Only for you 잊었던 나의 꿈이 구름 뒤로 다시 떠올라 나 조차 몰랐던 내 모습에 나 웃음이 나와 니 곁에 내 모습을 자꾸만 비춰보고 싶어 아직 나 가끔씩은 믿어지질 않나봐 Oh wish you 외롭던 나의 가슴이 널 안고 행복에 차올라와 길었던 나의 하루가 이젠 난 턱없이 부족해 너 하나를 알고서 가득 찬 내 세상을 너에게 선물할게 Only for you Don't you set me free 나의 곁에서 두려울 게 없어 Don't you set me free Oh Just Sweet my Yeah oh 알고 있니 불안한 나의 모습을 온전히 채워준 너라는 걸 아득한 설레임들을 다시 나 찾게 한 너란 걸 너 없던 세상이 다시 오지 않도록 내 곁에 머물러줘 Stay my life Stay my life
20090416,에이스타일,Why,male,발라드,-,-,-,-,이제 알았어 너 떠난뒤에야 너의 마음이 서서히 식어갔단걸 그땐 몰랐어 항상 웃었잖아 행복하게만 생각했었어 너의 두 눈이 말하고 있다는걸 어떻게 내가 몰랐을까 나의 무관심에 화가 나 그렇게 힘이 드나요 날 떠나갈 만큼 왜 내겐 말하지 않았나요 단 한번도 이렇게 떠나버리면 더 이상 잘해주지도 다신 볼 수도 미안하단 말도 못 하잖아요 내게 돌아선 너의 뒷 모습을 차마 아직도 잊을 수 없어 단 하루라도 아니 일 분이라도 너를 만날 수만 있다면 이 말은 꼭 미안하다고 그렇게 힘이 드나요 날 떠나갈 만큼 왜 내겐 말하지 않았나요 단 한번도 이렇게 떠나버리면 더 이상 잘해주지도 다신 볼 수도 미안하단 말도 못 하잖아요 언제부터 우리 둘 사이 변한건지 항상 나는 그대로인데 그 동안 다 참아왔던 거라면 다시 한번만 날 이해해줘 돌아와 제발 그렇게 힘이 드나요 날 떠나갈 만큼 왜 네게 멀어져 버렸나요 이제 와서 한번쯤 날 기억해요 한때는 사랑했던 날 이젠 더 이상 아프지 않도록 나 기도할래요
20090306,에이스타일,아쉬운 마음인걸,male,국내드라마,-,송수윤,김승수,-,아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 유리처럼 내겐 불안한 마음인걸 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 이대로 널 품 안에 담고 싶어 햇살 닮은 너의 그 미소 바람을 닮은 니 향기 따뜻한 숨결 싱그러운 너의 눈빛이 좋아 행복에 한아름 취한 사랑이 꿈이 될까봐 다 사라질까봐 곁에 있는 니 손을 꼭 잡게돼 샤샤라 샤랄라 Hey My 샤샤라 샤랄라 Hey My Girl 샤샤라 샤랄랄라 In My Heart 영원히 머물러줘 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 유리처럼 내겐 불안한 마음인걸 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 이대로 널 품안에 담고 싶어 오 난 너만 보면 너무 두근대 넌 이런 날 보면서는 웃곤해 이런게 사랑일까 이런게 행복일까 매일 아침 눈을 뜨고 말을 해 하루 하루 커가는 내 맘 니가 못 따라 올까봐 길을 잃을까봐 곁에 있는 니 손을 꼭 잡게 돼 샤샤라 샤랄라 Hey My 샤샤라 샤랄라 Hey My Girl 샤샤라 샤랄랄라 In My Heart 영원히 머물러줘 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 유리처럼 내겐 불안한 마음인걸 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 이대로 널 품안에 담고 싶어 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 유리처럼 내겐 불안한 마음인걸 아쉬운 마음인걸 아쉬운 마음인걸 곁에 있어도 언제나 그리운걸 Hey My Girl 이대로 널 품안에 담고 싶어
20080428,에이스타일,1234 Back,male,댄스,-,-,-,-,1234 BACK 알지 못 할 거리에서 우연히 너를 본 듯해 낯선 남자와 손잡고 전활 해도 받질 않고 이미 난 없어진 듯해 넌 첨부터 그래왔고 1234 BACK 까만 거짓말로 덮여있던 네가 한 말들 이젠 날려버릴까 이미 다른 사람 찾아왔다고 이렇게 말해 주겠어 1234 BACK 가만두지 못해 모른채로 널 향한 맘을 모두 지워버릴까 이 시간이 가도 남아있다면 그때 다 돌려주겠어 다시는 맘에 들지 않으니깐 해줬던 거짓말들도 생각이 안나 아무리 찾아봐도 볼 수 없고 이미 넌 사라진 듯해 다 첨부터 그래왔어 1234 BACK 까만 거짓말로 덮여있던 네가 한 말들 이젠 날려버릴까 이미 다른 사람 찾아왔다고 이렇게 말해 주겠어 1234 BACK 가만두지 못해 모른채로 널 향한 맘을 모두 지워버릴까 이 시간이 가도 남아있다면 그때 다 돌려주겠어 마지못해 말들을 내게 하고 차갑게 돌아서며 나를 보고 어쩔 수 없단 너의 말들 질려버렸어 포기하겠어 나에게 다가와 아무렇지 않은 듯이 그 남자를 자리에 보내고 만나는 사람이라 넌 소개를 하지 이걸로 다 충분한데 이제는 내 앞에서 사라져 1234 BACK 1234 BACK 까만 거짓말로 덮여있던 네가 한 말들 이젠 날려버릴까 이미 다른 사람 찾아왔다고 이렇게 말해 주겠어 1234 BACK 가만두지 못해 모른채로 널 향한 맘을 모두 지워버릴까 이 시간이 가도 남아있다면 그때 다 돌려주겠어
20080428,에이스타일,Show,male,댄스,-,-,-,-,ShowTime Let's go 첫 눈에 첫 눈에 넌 내 눈에 들어왔지 모든 시선이 그녈 향해 있어 한 번에 한 번에 운명인 걸 알 수 있지 이젠 끝났어 지루한 고민들 금새 터질 것만 같은 강한 이 떨림 나의 걸음 멈출 수가 없잖아 다시없을 것만 같은 확실한 예감 너를 만나려고 살던 나일까 나의 눈을 봐 Tell me Tell me 운명이라고 말해 내 사랑 이제야 너를 찾았어 나를 믿어 봐 Show me Show me 기억 속 나를 꺼내 내 사랑 다신 널 놓치지 않아 세상엔 세상엔 믿지 못할 일이 많지 forget everyday baby I can show you 어떤 우연도 필연적인 운명 you mean everything baby I will get you 아주 오래오래 전에 만난 것처럼 이런 끌림 피할 수가 없잖아 세상 돌고 돌아 내가 기다린 사람 내가 원한 사랑 바로 너일까 나의 눈을 봐 Tell me Tell me 운명이라고 말해 내 사랑 이제야 너를 찾았어 나를 믿어 봐 Show me Show me 기억 속 나를 꺼내 내 사랑 다신 널 놓치지 않아 Uh face to face You knock the mind that you want Uh let's go One step talking the truth Now we gonna listen your word 머뭇대지 why 원한다면 try 그대 기다려왔던 나와 같이 fly 이제까지 널 기다렸단걸 Now this time you're my girl 오래전에 벌써 내게 주어진 운명 세상 돌고 돌아 내가 기다렸던 사람 착각이라 해도 아니라 해도 새로 쓰는 내 운명이 이젠 너 나의 눈을 봐 Tell me Tell me 운명이라고 말해 내 사랑 이제야 너를 찾았어 나를 믿어 봐 Show me Show me 기억 속 나를 꺼내 내 사랑 다신 널 놓치지 않아 나를 가져가 Love me Love me 날 따라오기만 해 영원히 내가 널 지켜 주겠어 너를 걸어봐 Hold me Hold me 나에게 모두 기대 영원히 네곁에 함께 할거야
20080428,에이스타일,Funky N Roll Tonight,male,댄스,-,-,-,-,설레는 가슴 내겐 가벼운 웃음 가득 하루해는 가고 신나는 음악 너를 향한 발걸음 위로 화려한 불빛 가득하네 funky rythme 그 사이로 웃는 네 모습이 좋아서 funky N Roll 좋은 예감 이 밤 널 위한 Party Tonight Funky N Roll Tonight 춤추는 이 밤 넌 날 비추는 오늘 밤의 태양 Funky N Roll Tonight 뜨거운 이 밤 너를 느끼는 지금 난 행복해 Funky N Roll Tonight Funky N Roll Tonight 나만의 Stage 네가 내게 빠져들 시간 밤은 깊어가고 멈춰선 시선 시간 속에 혼자 남아도 이젠 외롭지 않아 Funky N Roll Tonight 신나는 이 밤 넌 날 비추는 오늘 밤의 태양 Funky N Roll Tonight 짜릿한 이 밤 너를 느끼는 지금 난 행복해 All this time 지치고 힘든 날 지켜온 너의 그 미소 환한 웃음 날 또 숨 쉬게 해 It's my Funky N Roll Tonight Funky N Roll Tonight 밤새워 보낸 너와 함께한 이 시간들 잠을 잊게 하고 끝없는 음악 내겐 기분 좋은 추억들 다시 춤추게 해 Funky N Roll Tonight 춤추는 이 밤 넌 날 비추는 오늘 밤의 태양 Funky N Roll Tonight 뜨거운 이 밤 너를 느끼는 지금 난 행복해 Funky N Roll Tonight 신나는 이 밤 넌 날 비추는 오늘 밤의 태양 Funky N Roll Tonight 짜릿한 이 밤 너를 느끼는 지금 난 행복해 Funky N Roll Tonight Funky N Roll Tonight Funky N Roll Tonight Funky N Roll Tonight
20080428,에이스타일,You,male,댄스,-,-,-,-,이젠 네 전화 없어도 아침엔 혼자서도 잘 일어나는 나인걸 며칠에 꼭 한 번 내방 안 청소도 하지 I'm sorry that I'm hurting you girl 흐린 날 아침 우산도 챙기고 매일 하던 술도 이젠 끊고 커피 대신 네가 권한 차를 들어 이렇게 나를 잘 돌보고 있잖아 내 걱정은 하지마 forget you 내 생각 하지마 I owe you 언제나 네게 기댄 날 It's you It's you 이제야 알겠어 about you 전부 다 너였어 I miss you 늘 네게 받기만 했던 내 모습 You forgive me sorry girl 너 아닌 딴 여자도 만나보고 이렇게 네 모습 잊으려고 애쓰고 이게 내가 해줄 이별의 끝인걸 I pray for you day by day 널 알던 사람들 봐도 네 소식 물어올 때도 그냥 나 편안한 걸 마치 널 다 잊은 것처럼 웃잖아 내 걱정은 하지마 forget you 내 생각 하지마 I owe you 언제나 네게 기댄 날 It's you It's you 이제야 알겠어 about you 전부 다 너였어 I miss you 늘 네게 받기만 했던 내 모습 You forgive me 떠난 네 맘 이해해 내가 바보였어 항상 네게 어린애 같던 내가 널 보낸 뒤에야 어른이 되는가봐 Oh I'm sorry forgive me Oh Oh You forget me now oh baby 내 걱정은 하지마 forget you 내 생각 하지마 I owe you 언제나 네게 기댄 날 It's you It's you 이제야 알겠어 about you 전부 다 너였어 I miss you 늘 네게 받기만 했던 내 모습 You forgive me My girl
20080428,에이스타일,내가 바보였어,male,발라드,-,-,-,-,아침이면 햇살처럼 나를 깨워 너의 그 흔적들 갑작스레 밀려온 그리움으로 다시 시작된 나의 하루 힘없이 웃고 있었지 내 방을 가득 메웠던 네가 내게 남긴 추억 한참을 쳐다보다가 울고 있는 나를 보네 내가 될 수 없던 너 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 이별을 말한 건 너였지 하지만 너를 떠나게 만든 건 나란 걸 내가 바보였어 힘없이 웃고 있었지 내 방을 가득 메웠던 네가 내게 남긴 추억 한참을 쳐다보다가 울고 있는 나를 보네 너를 채우기엔 부족했나봐 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 아무리 날 위로 해봐도 혼자라는 걸 깨달아 다신 널 찾을 수 없는 나였음을 하나 둘씩 널 태우고 있어 마지막 너와 함께 찍었었던 사진까지도 괜찮아 지겠지 내 가슴에 남겨졌던 그리움은 연기처럼 사라져 널 잊을게 깨져버린 너와의 약속들 난 끝 없이 추락하고 있어 천 번을 불러보아도 낯설게 다가오는 꿈 이별을 말한 건 너였지 하지만 너를 떠나게 만든 건 나란 걸 나란 걸 내가 바보였어 보고싶어
