년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20070625,버즈,Intro,male,발라드,-,-,신상우,인넥스트트렌드,-
20101116,버즈,여자가 싫다 (Feat. Venny),male,록/메탈,-,김진아,고석영,인넥스트트렌드,수 없이 만나 수없이 보내 널 대신할 사람 찾을수 없어 미워할수록 그리워 추억이 날 가만안둬 매일 혼자 눈물에 잠겨 비틀대 집착이야 내 집착이야 이 못난 방황에 지쳐 나 벌서듯이 기다려 아파도 원해 독하게 왜 날 떼놔 너 때문에 이 세상 여자가 싫다 운명인지 몰라 이별을 얕봤어 뒤따라가 깊이 안아야했어 또 주저앉아 가슴쳐 달려갈 용기도 없어 남은 정도 바닥날까봐 두려워 집착이야 내 집착이야 이 못난 방황에 지쳐 나 벌서듯이 기다려 떠날거라면 내 행복도 빌지마 너 아니면 나 이제 여자가 싫다 다 잊자고 지나간 사랑이라고 하루에 몇 번 씩 다짐을 해도 널 잊질 못해 이 바보야 난 못 돌아가 미안해 잊어줘 떠날거라면 내 행복도 빌지마 너 아니면 나 이제 여자가 싫다
20101116,버즈,남자를 몰라,male,록/메탈,-,김진아,이상준,인넥스트트렌드,매번 늦어도 이해 할게 누굴 만났니 먼저 묻지 않을게 고집스런 내 사랑 너의 말은 변명이라도 믿고 싶을테니 눈 비비는척 눈물 닦아내고 다음 약속도 잡을 이유 만들지 니 맘보다 한숨과 친해져도 널 보기위해 난 사니까 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리지 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라 잊어보려고 해도 소용없어 하루도 못 가 너만 또 찾는 나인걸 혼자가 더 좋다는 슬픈 니 말 눈물이 자꾸 지워버려 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리지 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라  니 맘에 누가 있든 괜찮아 한번쯤 못 이긴 척 돌아봐 보여줄게 더 많아 쉽게 보낼 수 없어 가지마 널 원해야만 견뎌내는 내 가슴이야 날마다 울어도 볼 때마다 행복해 왜 너만 몰라 왜 강한 내 사랑을 몰라
20101116,버즈,BUZZing Rock,male,록/메탈,-,김진아,박봉성,인넥스트트렌드,일어나 너 일초도 주저마 한숨은 날려버려 헤어진 사랑에 더 울지마 이별은 잠깐이야 어서 나와봐 나와 춤춰봐 happy한 사랑이 있어 탈난 가슴도 망친 앞길도 걱정마 내가 다 풀어 Oh buzzing rock buzzing rock buzzing night 춤추며 사랑을 하자 내게 맡겨 널 맡겨 다 맡겨 오늘밤 내 품에 안겨봐 Oh no no no no no is no do do do do do you again love love love love love me now 다른 사람 쳐다도 보지마 내손 잡아봐 내게 기대봐 리듬에 몸을 실어봐 멈춘 심장도 감은 두 눈도 손뼉 쳐 내가 다 고쳐 Oh buzzing rock buzzing rock buzzing night 뜨거운 사랑을 하자 이젠 달라 넌 달라 참 달라 특별한 내 사랑 받아봐 Oh no no no no no is no do do do do do you again love love love love love me now 다른 사람 눈길도 주지마 더 cool하게 뜨겁게 멋지게 최고의 밤을 보내봐 너와 나는 우리는 이 밤은 이별 따윈 생각도 말자 Oh buzzing rock buzzing rock buzzing night 타고난 너의 남자야 내게 맡겨 널 맡겨 다 맡겨 오늘밤 내 품에 안겨봐 oh 랄랄랄라라랄랄라 나나나나나나나나 랄랄랄라라랄랄라 Don't Tell me bye 내 사랑을 믿어
20101116,버즈,사랑이 멈춘 시간 (Song By. 민경훈),male,록/메탈,-,베니 (상상밴드),고석영,인넥스트트렌드,그렇게 하자 시간을 가져보자 우리에게 이런 날도 있구나 익숙함도 깊은 사랑이란걸 너는 몰라 오늘밤이 지나면 다시 볼 수 없다는거 잊지마 미안해하지 말고 나를 지나가 아무것도 그 어떤 것도 할 수 없잖아 노력 해본다 말하는 너의 뒷모습에서 사랑이 멈춘 시간이 보였어 눈물이 난다 마음이 참 아프다 너의 진심을 만날 수가 없구나 멈춰버린 낯선 시간 속에서 터져버린 울음소리 들으며 한걸음 또 한걸음 널 기억해 미안해하지 말고 나를 지나가 아무것도 그 어떤 것도 할 수 없잖아 노력한다고 말하는 너의 뒷모습에서 사랑이 멈춘 시간이 보였어 벅찬 사랑 나누던 우리 갖지 못할 너란 사람 때문에 비틀대는 하루를 매일 안고 살아갈 내 모습이 슬퍼 너라는 그 이름 하나로 너와 함께 만들고 싶던 나의 미래가 잡을 틈도 없이 사라지는 우리 사랑이 지금 이곳에서 살아가겠지 사랑이 멈춘 시간아 안녕
20101116,버즈,용서에 관한 짧은 필름,male,록/메탈,-,신현승,윤우현,인넥스트트렌드,날 제발 그만 놔줘 모른척해줘 그에게 가 후회따윈 버려 너무 슬픈 변명 듣긴 싫어 영화같은 용서라면 바라지마 그만하자 이쯤에서 긋자 우리 다시 마주칠 일 없도록 하자 짧은 순간이야 필름처럼 남았다면 더 좋겠지만 No No 미련도 다 가져가 미안하면 제발 다시 나를 찾지마 그 사람 어떡하고 다시 돌아와 남겨진 내 사랑 따윈 뭐야 그런 흔한 눈물 보긴 싫어 허전하단 생각 들면 왜 날 찾아 그만하자 이쯤에서 긋자 우리 다시 마주칠 일 없도록 하자 짧은 순간이야 필름처럼 남았다면 더 좋겠지만 No No 미련도 다 가져가 내 가슴에 용서할 너는 없어 이게 술이라 힘든거면 비워내고 마는데 너라서 아파도 삼키고 견뎠어 돌아보지 말고 그만 떠나 되돌릴 수 없는 길에 멈춰서지마 행복했던 기억 필름처럼 남았다면 더 좋겠지만 No No 미련도 다 가져가 미안하면 제발 다시 나를 찾지마
20101116,버즈,거인 (Giant For You),male,록/메탈,-,김진아,윤우현,인넥스트트렌드,날 잠시 놔줘 막아선 안돼 맘고생만 훤해 못난 놈처럼 네 곁에 붙어 꿈만 꿀 순 없어 네 주위 반대 속에 화나도 쓴 약이 됐나봐 네 눈물 가슴 아파 사랑도 내 꿈도 더 꿇리긴 싫어 너 날 두고봐 널 위해 거인처럼 다 이룰게 두려워마 울 기운으로 날 믿고 기다려 절대 안 끝나 행복은 미뤄둬 내 발로 돌아와 큰 가슴으로 뜨겁게 안을게 오래 안 걸려 생애 너 하나 당당히 책임져 세상에 우뚝 설께 날 향한 그 눈물 값지게 다행인지도 몰라 힘들 때 사랑은 더 강해지니까 너 날 두고봐 널 위해 거인처럼 다 이룰게 두려워마 울 기운으로 날 믿고 기다려 절대 안 끝나 행복은 미뤄둬 내발로 돌아와 큰 가슴으로 뜨겁게 안을게 되찾을게 그 땐 제대로 웃자 다 주고 싶어 널 지킬 거인처럼 살고 싶어 나 앞장서 상처는 감히 얼씬도 못하게 걱정마 돌아와 보란 듯이 사랑해 큰 두 손으로 영원히 잡을게
20101116,버즈,이별수집가 (Song By. 민경훈),male,록/메탈,-,이경,윤우현,인넥스트트렌드,거꾸로 가죠  달력의 숫자는 뒤로 돌아갑니다  겉옷을 벗고  쇼파에 기대어 그리움을 꺼내 보네요  사람 같지도 않았던 비딱한 내게 와서  내 삶을 정리한 사람  주는 사랑도 어색해 화내던 내게  소주마저도 달게 만든 사람  보고싶어 이말 한마디 하고 싶어서  눈 감고 소리치는 나  어떡하죠 시간을 돌려  기억 속에 가 봐도  바보만 서있답니다    그대 손길로 웃었던 내 방안 물건들이  오늘도 시위합니다  그대 떠날 때 부서진 화분마저도  그대와 닮은 꽃을 피며 울죠  사랑해요 미친 것처럼 그댈 원하는  내 욕심 땜에 사는 나  미안해요 그댄 없는데  매일 추억 모으는  난 이별 수집가이죠  물 한모금도 삼킬 수 없어요  머리카락도 빗을 수가 없어요  닿기만 해도 그대와의  추억이 떨어질까봐  내 가슴 내 온몸에 담아요  사랑해요 미친 것처럼 그댈 원하는  그 욕심 땜에 사는 나  미안해요 그댄 없는데  매일 추억 모으는  난 이별 수집가이죠
20101116,버즈,나에게로 떠나는 여행,male,록/메탈,-,한경혜,고석영,인넥스트트렌드,나에게로 떠나는 여행  저 푸른 바다 끝까지 말을 달리면 소금 같은 별이 떠있고 사막엔 낙타만이 가는 길 무수한 사랑 길이 되어 열어줄 거야 낡은 하모니카 손에 익은 기타 Your Melody 어린 왕자 Your Melody 찾아 떠날래 Far away U're my sunshine we were together 나는 사랑보다 좋은 추억 알게 될 거야 텀블러 한잔에 널 털어 넘기고 이젠 나를 좀 더 사랑할거야 저 끓어 넘친 태양은 부글거리고 오랜 꿈은 삐걱거리고 쿨럭인 자동차를 타고서 꿈의 날개로 구름 속을 산책할 거야 낡은 하모니카 손에 익은 기타 Your Melody 어린 왕자 Your Melody 찾아 떠날래 Far away U're my sunshine we were together 나는 사랑보다 좋은 추억 알게 될 거야 For my life Find my life 찾아 누릴 천국에 지지 않을 너를 안게 될거야 Far away Ure my sunshine we were together 나는 사랑보다 좋은 추억 알게 될 거야 For my life Find my life 찾아 누릴 천국에 지지 않을 너를 안게 될거야
20101116,버즈,겁쟁이,male,록/메탈,-,최갑원,고석영,인넥스트트렌드,미안합니다 고작 나란 사람이 당신을 미친 듯 사랑합니다 기다립니다 잘난 것 하나 없는데 염치없이 당신을 원합니다 세상을 더 헤매어 봐도 눈을 더 크게 뜨고 찾아도 당신은 단 하나란 걸 알아서 내가 꼭 갖고 싶지만 날 사랑해줘요 날 울리지마요 숨 쉬는 것보다 더 잦은 이 말 하나도 자신 있게 못하는 늘 숨어만 있는 나는 겁쟁이랍니다 미안합니다 미련한 미련 때문에 내 손으로 당신을 못 놉니다 내 눈에 당신이 박혀서 다른 무엇도 볼 수 없어서 가슴에 옮겨와 달라는 말도 이젠 해보고 싶지만 날 사랑해줘요 날 울리지마요 숨 쉬는 것보다 더 잦은 이 말 하나도 자신 있게 못하는 늘 숨어만 있는 나는 겁쟁이랍니다 조금씩 커져가는 사랑은 한 번씩 나도 몰래 새어 나와서 길을 잃은 아이처럼 울고 보채도 터진 내 맘은 모르겠죠 눈을 감지 마요 나를 바라봐요 당신의 귓가에 다가가 말하려 해도 당신 앞에 설 때면 뒷걸음만 치는 그저 난 겁쟁이랍니다 그대만 나는 기다립니다
20101116,버즈,여자가 싫다 (Feat. Venny) (Radio Ver.),male,록/메탈,-,-,고석영,인넥스트트렌드,수 없이 만나 수 없이 보내 널 대신할 사람 찾을 수 없어 미워할수록 그리워 추억이 날 가만안둬 매일 혼자 눈물에 잠겨 비틀대 집착이야 내 집착이야 이 못난 방황에 지쳐 나 벌서듯이 기다려 아파도 원해 독하게 왜 날 떼놔 너 때문에 이 세상 여자가 싫다 운명인지 몰라 이별을 얕봤어 뒤따라가 깊이 안아야했어 또 주저앉아 가슴쳐 달려갈 용기도 없어 남은 정도 바닥날까봐 두려워 집착이야 내 집착이야 이 못난 방황에 지쳐 나 벌서듯이 기다려 떠날거라면 내 행복도 빌지마 너 아니면 나 이제 여자가 싫다 다 잊자고 지나간 사랑이라고 하루에 몇 번 씩 다짐을 해도 널 잊질 못해 이 바보야 난 못 돌아가 미안해 잊어줘
20070625,버즈,Intro,male,발라드,-,-,신상우,인넥스트트렌드,-
20070625,버즈,사랑은 가슴이 시킨다 Part.2,male,발라드,-,최갑원,고석영,인넥스트트렌드,그래 그렇게 걸어가면 돼 네 뒤에 선 날 두고서 나의 눈물이 들리지 않도록 너의 두 귀를 가리고서 남자라는 이유로 맘 편히 울지 못 하고 잘 가라는 손짓을 하지만 나의 가슴은 널 붙잡으라고 시키는데 Oh 내 사랑아 그대로 가 나를 떠나서 저 먼 곳에서 행복해 줘 나의 사랑은 잊어줘 모두 다 나의 곁에서 잠이 들었던 흔적까지 지워줘 많이 아파도 웃어내 볼게 남자답게 보내줄게 내가 해주는 마지막 선물은 이별이란 한 가지 뿐 네가 하고 싶은 것 늘 네가 갖고 싶은 것 어느 하나 해준 게 없는데 무슨 염치로 날 떠나가는 널 붙잡겠니 Oh 내 사랑아 그대로가 나를 떠나서 저 먼 곳에서 행복해 줘 나의 사랑은 잊어줘 모두 다 나의 곁에서 잠이 들었던 흔적까지 For you 너의 뒷 모습이 어색해 보여도 내 눈 가득히 담아둘게 Oh 내 사랑아 널 보낼게 내 맘 변해서 너를 잡으면 안되니까 우리 사랑은 여기까진 가봐 너와 함께한 시간 모두다 지울게 널 사랑해
20070625,버즈,사랑은 가슴이 시킨다 Part.2 (Inst.),male,발라드,-,최갑원,고석영,인넥스트트렌드,그래 그렇게 걸어가면 돼 네 뒤에서 날 두고서 나의 눈물이 들리지 않도록 너의 두 귀를 가리고서 남자라는 이유로 난 편히 울지 못하고 저 바람은 손짓을 하지만 나의 가슴은 널 붙잡으라고 시키는데 오 내 사랑아 그대로가 날 떠나서 저 먼 곳에서 행복해 줘 나의 사랑은 잊어줘 모두다 나의 곁에서 잠이들었던 흔적까지 지워줘 많이 아파도 웃어 내 볼게 남자답게 보내줄게 내가 해주는 마지막 선물은 이별이란 한가지 뿐 네가 하고 싶은 것 늘 네가 갖고 싶은 것 어느 하나 해준 게 없는데 무슨 염치로 날 떠나가는 널 붙잡겠니 내 사랑아 그대로가 날 떠나서 저 먼 곳에서 행복해 줘 나의 사랑은 잊어줘 모두다 나의 곁에서 잠이들었던 흔적까지 For you 너의 뒷모습이 어색해 보여도 내 눈 가득히 담아 둘게 내 사랑아 널 보낼게 내 맘 변해서 널 잡으면 안되니까 우리 사랑은 여기까지인가봐 너와 함께 한 시간 모두다 지울게 널 사랑해
20061219,버즈,MORNING OF BUZZ,male,록/메탈,-,-,고석영,인넥스트트렌드,-
20061219,버즈,Funny Rock,male,록/메탈,-,임선아,윤우현,인넥스트트렌드,사랑에 나의 전부를 걸었고 전부인 사랑 하나를 잃어서 슬프다면 귀 기울여봐 무너진 마음 그 속에 아직도 당차게 그 사랑이 남아서 괴롭다면 귀 기울여봐 한번쯤은 누구나 다 겪는 이별 따위에 나 혼자만 못 잊은 채 아파해야만 하나 funny rock 우울한 기억은 모두 날려버려 외쳐봐 가슴 시원해질 때까지 funny rock 행복한 주문을 we will rock and roll 다가올 이별마저도 달아나게 그때는 죽을만큼 사랑했고 지금은 죽을만큼 아파서 괴롭다면 귀 기울여봐 행복하길 나 없이도 그런 약한 말 대신 떠나간 너 천번을 더 불행하길 기도해 funny rock 우울한 기억은 모두 날려버려 외쳐봐 가슴 시원해질 때까지 funny rock 행복한 주문을 we will rock and roll 다가올 이별마저도 달아나게 행복하길 나 없이도 그런 약한 말 대신 떠나간 너 천번을 더 불행하길 기도해 독한 마음으로 털어버려 funny rock 우울한 기억은 모두 날려버려 외쳐봐 가슴 시원해질 때까지 funny rock 행복한 주문을 we will rock and roll 다가올 이별마저도 달아나게 rock rock and roll we will rock rock and roll
20061219,버즈,미완예찬,male,록/메탈,-,임선아,윤우현,인넥스트트렌드,달려도 항상 그 자릴 맴도는 미로처럼 두려울 때도 내 안에 꿈은 걸음을 이끌어 내 심장의 울림을 따라 멈추지 마라 내게 끝은 없으니 타는 사막을 맨발로 걸어간대도 뜨거운 아픔을 이겨내는건 또 다시 꿈꿀 수 있기 때문에 가난한 꿈을 비웃는 세상이 나를 초라하게 할 때도 가질 수 없는 그래서 많은 꿈 나를 웃게 하는 힘인 걸 겁내지 마라 이제부터 시작일테니 거친 폭풍에 내던져진다고 해도 뜨거운 아픔을 이겨내는 건 또 다시 꿈꿀 수 있기 때문에 외쳐봐 뛰어봐 날 가둔 세상을 향해 내겐 숨쉬고 살던 많은 날이 기다리는걸 외쳐봐 뛰어봐 부족한 나이지만 꿈을 꾸는 난 이대로 더 아름다운걸 달려도 항상 그 자릴 맴도는 미로처럼 두려울 때도 가질 수 없는 그래서 많은 꿈 나를 웃게 하는 힘인 걸 겁내지 마라 이제부터 시작일테니 거친 폭풍에 내던져진다고 해도 뜨거운 아픔을 이겨내는 건 또 다시 꿈꿀 수 있기 때문에 외쳐봐 뛰어봐 날 가둔 세상을 향해 내겐 숨쉬고 살던 많은 날이 기다리는걸 외쳐봐 뛰어봐 부족한 나이지만 꿈을 꾸는 난 이대로 더 아름다운걸 두 팔을 벌려 작은 품에 세상을 안아 외쳐봐 뛰어봐 날 가둔 세상을 향해 내겐 숨쉬고 살던 많은 날이 기다리는걸 외쳐봐 뛰어봐 부족한 나이지만 꿈을 꾸는 난 이대로 더 아름다운걸
