년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20020326,큐오큐,Not Me,male,댄스,-,-,-,-,See It was not me The girl you loved That was not me My love is over The girl you loved That was not me That was not me My love is over 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 이른 아침 어김없이 잠에서 깨어났지 여느 때와 같이 태양은 날 비추기 시작하고 난 너의 사진쪽으로 다가가고 나의 두 손으로 내 두 눈으로 너의 모습 홀로 담으려고하는 순간 Oh 그녀와 어젯밤 헤어졌다는걸 잊고 있었어 메어와 가슴이 메어와 하늘이 무너져 내려 절망과 터질것만 같아 내맘 주체할 수 없어 무너져 내려가 아무렇지 않을 것만 같던 어젯밤 너와나 단둘이 찍었던 사진은 아직도 거울 앞에 그대로 지쳐울다가 잠이 들어 그러다 깼어 또 다시 두 눈에 눈물맺혀 돌아가 보고와 니가 돌아섰던 그 장소로 지금 달려가 사랑해 사랑해라고 한마디만하면 네가 지금 내뒤에서 날 안아줄것 같아 목이메어와 입을 땔수없어 아주 쉬운 말 한마디인데 그럴수 없어 불꺼진 너의집을 뒤로한채 비틀거리며 돌아온다 너를 보내며 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 단 한번도 너를 잊어본적 없어 어제도 오늘도 나는 너와 함께했던 그때를 떠올려 그러면 자꾸만 눈물이 흘러내려 내눈을 가려 이젠 널 잊으려 하지만 우리의 추억이 너무나 많아 쉽지가 않아 너와 함께한 시간이 계속 나를 잡아 참아 너와함께 찍었던 사진을 바라보며 차마 그러지 못해 수화기를 내려놔 언제까지 나 너를 기억할께 내 모든걸 받쳐 사랑했던 그대 이렇게 너를 보내 후회하고 있는 나는 후회 하는 나는 그런 나는 이제는 여기서 널 더이상 붙잡지 않겠어 애써 그러지 않겠어 너만 행복하다면 이젠 난 널 편히 놓아주겠어 사랑은 이제 기억은 하얀눈처럼 꿈처럼 추억으로 남아 괴로워 슬퍼 울어도 너는 더 멀리 떠나지 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와 함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 너무 힘이 들어 많이 힘이 들어 계속 목이 메어 가슴이 메어 다신 너와 함께 할수 없는 현실이 싫어 울다가 지쳐 외로움에 미쳐 잠이 들면 꿈에서 너와 행복한 시간을 보내 모든걸 잊어 아침에 습관처럼 너에게 전화해 그리고 너의 목소리 듣고 잘 잤니 아픈데 없었니 물어보고 나면 나는 이미 우린 이제 이게 아닌걸 알고 말을 잊지 못하고 너의 눈물섞인 목소리 한 번 더듣게 돼 왜 이래야 하는지 왜 그래야 되는지
20020326,큐오큐,알리바바,male,댄스,-,-,-,-,Show me love whut whut 내게로 Whut Whut 그녈 내게로 내 사랑으로 Whut 만들어 주문을 외워 Whut 오직 나 홀로 그녈 느끼고 싶어 깊어져만 가는 나의 맘으로는 그녈 내 소유로 만들수 가 없어 YO 주문을 외워 Whut Whut it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha Yo Let me put up put up Yo Cutty come up come up 가만히 있어봐 Come back rewind that me mind Just give up give up it's set up Uh uh gotta go in this them love game 알리바바 나만의 LOVER 희 뿌연 연기처럼 피어오르는 그녀를 봐 아름다운 요정아 손 끝에서 타고 오르는 완벽한 어깨 선에 긴 머리를 휘 날리며 휘 나를 내려보며 차마 말로 할 수 없는 내 몸이 녹아가 이름 모를 아로마 향기가 내 몸을 녹여 나 죽어가 알리바바 날아봐봐 구름 위를 날아봐봐 신비로운 그녀를 봐 너의 섹시함에 나 점점 정신을 잃어가 무능해져가 하얀 뽀얀 부드러운 그녀의 살결 미치도록 나를 흥분 시키는 그 숨결 한 결 달아올라 절정으로가 다가가 그러나 너는 달아나려 하나 왜 넌 도망 가려하나 it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha Yo Let me put up put up Yo Cutty come up come up 가만히 있어봐 Come back rewind that me mind Just give up give up it's set up Uh uh gotta go in this 그녀가 온다 나 조차 겉잡을 수 없는 그녀가 온다 내 머리 속은 이미 그녀가 넘어 온듯한 환각속에 사로잡혀 나는 이미 No Brain A man Touch 그녀의 몸 짓 숨결 지나가는 것 만으로 난 그녀와 함께할 수 없어 어서 문질러보자 그녈 닮은 예쁜 알리바바 하얀 화선지에 까만 먹물이 번져 나가는 것처럼 너의 하얀 살결이 나의 눈동자에 차 올라 나의 몸이 놀라 도대체 어째야할 지 몰라 너를 사랑하고 싶어 감싸고 싶어 너의 안에 가득히 나의 사랑 채워 주고 싶어 이런 생각 깊어 마음만으로는 안 될까 왜 일까 주문이나 외워볼까 it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha Yo Let me put up put up Yo Cutty come up come up 가만히 있어봐 Come back rewind that me mind Just give up give up it's set up Uh uh gotta go in this 알리바바 날아봐봐 구름 위로 날아봐봐 사라져 가는 희 뿌연 연기와 끝나가는 Time과 날 미치도록 달아오르게 만들어 버렸던 연기의 향기 마치 휘몰아치는 태풍과도 같이 내 영혼을 앗아가다다다 모두 다 뻗어갔지 뻗긴 그 것보다 더 긴 여운에 너무도 텅빈 내 맘을 주체못한 채 멀어지는 여신 it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha it's ma body body shake that booty booty Oops i go allibaba I wish a washa metcha Yo Let me put up put up Yo Cutty come up come up 가만히 있어봐 Come back rewind that me mind Just give up give up it's set up Uh uh gotta go in this
20020326,큐오큐,트리플의 법칙,male,댄스,-,-,-,-,잘나빠진 얼굴과 돈이나 들이데며 사랑하는 너따위는 이제 가 이수일과 심순애 비극적인 장면에 주인공인가 무엇을 선택해야 하나 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막엔 꼭 하나가 제외가 되지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막에 제외된 자 가슴찢어지지 나나 나오직 너하나만을 위해 내모든걸 바쳤어 너와 나와 이를 꿈과 미래와 아름다운 우리 내일만 내 머리속에 가득차 허나 이게 왠 차 그안에서 너의 입술을 훔친자 what's your name 누구냐 이리나와 남자대 남자로 한판 붙자 oh NO NO 아무것도 몰랐었어 난 처음부터 그녀가 나 좋다고 따라다닐때부터 남자가 있을거란 생각도 못했어 애써 외면할 필요도 없었고 나 또한 그녀가 좋았고 그래서 받아들였고 허나 근데 이게 무슨 날벼락이고 무얼믿고 들이대나 잘생긴 니얼굴은 그사람에 돈보다 못해 그런 돈 돈 돈 으로는 LOVE LOVE LOVE 살수없어 잘생긴 내 얼굴도 무얼믿고 들이대나 아무리 돈 많아도 찌그러진 니얼굴은 어디로 가나 아니 그넘의 얼굴이 너 밥먹여주니 내 주머니 에 돈 MONEY 로 좋은차를 타지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막엔 꼭 하나가 제외가 되지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막에 제외된 자 가슴찢어지지 넌 넌 한개도 잘난것 없어 니 얼굴 빼고 뭐 뭐 그러는 넌 넌 오직 내 새울건 돈 돈 그 여자는 니 얼굴보고 확 갔고 미친듯이 따라갔고 나에게는 돈보고 따라왔다 이거군 HA HA 이제야 알아 들었군 또 한번만 또 이미나에게 와 버린 여자로 날 골치 아프게 한다면 더이상은 못 참겠어 어 그래 어쩌겠어 밀치겠어 날 니 액면으로 밀어 붙이겠어 점점 더 점점 the one two 워 워 분노로 타오르는 두 눈 무얼믿고 들이대나 잘생긴 니얼굴은 그사람에 돈보다 못해 그런 돈 돈 돈 으로는 LOVE LOVE LOVE 살수없어 잘생긴 내 얼굴도 무얼믿고 들이대나 아무리 돈 많아도 찌그러진 니얼굴은 어디로 가나 아니 그넘의 얼굴이 너 밥먹여주니 내 주머니 에 돈 MONEY 로 좋은차를 타지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막엔 꼭 하나가 제외가 되지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막에 제외된 자 가슴찢어지지 사랑이란게 다 그렇지 뭐 힘들고 슬프고 서로 괴롭고 그러나 그중에서 가장 아픈건 삼각관계 트리플법칙 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막엔 꼭 하나가 제외가 되지 처음에는 모두 서로 사랑한다 하지 그러다가 누군가가 삐닥선을 타지 니 사랑의 방식 트리플의 법칙 마지막에 제외된 자 가슴찢어지지 you know that you know that 삼각관계 트리플에 법칙에 대해 you know that you know that 세 사람이 서로 같은 사랑할수 없다네 you know that you know that 그중에 꼭 한사람은 슬퍼진다네 you know that you know that 허무해 또 너무해 사랑이란게
20020326,큐오큐,나쁜 여자,male,댄스,-,-,-,-,내게 다가와 내게 다가와 내게 다가온 너 그런널 보낼수 없어 내게 다가와 내게 다가와 내게 다가온 너 그런 널 보낼수 없어 예예예 사랑을 하나에 성취라 생각하는 여우들이여 봐봐 예예예 희망을 버리지 않고 사랑을 부르는 남자들이여 봐봐 예예예 사랑에 속고 넘어가 무너져 가는 자신을 봐봐 예예예 여자들이란 같아 다같아 여우들이야 Listen To Me 나 긴히 할 얘기 있어 I Got A New Friend Oh Girl Friend 얼마전에 친구를 통해 미팅을 하게됐어 에이 잘됐어 잘됐어 앞에 앉아 있던 4명의 여자중 하나 가장 아름다운꽃 중에 하나 그여자 물론 나랑 눈이 맞아 서로에 합의 아래 우린 사귄지가 오래 난 지난주말 느즈막히 친구들 같이 다 모두 마치 걸에게 잠시 굶주린 늑대들과도 같이 밤길을 걷다가 발견한 화려한 힙합 클럽에 들어가 리듬에 나 모든걸 다다 다맡겨 시끄런소리마 그때 비틀 비틀거리며 다가온 섹시우먼 귓속말로 나에게 넌내꺼야 이거다 저거다 할것없이 그대로 너에게 녹아버렸던 나 너와 나 모든걸 잊고 가식은 벗고 뜨겁게 타올라갔던 Night 내게 다가와 내게 다가와 내게 다가온 너 그런 널 보낼수 없어 내게 다가와 내게 다가와 내게 다가온 너 그런 널 보낼수 없어 세상에 수많은 여자중에 그 누가 내 여자일까 봐봐 둘러봐봐 잘 찾아봐봐 어딘가에는 분명히 내가 찾고 있는 나만의 이상형이 현모양처 OK HA HA 있을꺼야 왠 천사가 내앞에서 전화를 하고 있어 나는 한순간 그녈 따라갔어 조심스레 말을 걸어 연락처를 땄어 언제 만나기로 했어 오늘저녁 7시에 우리 자주가는 카페 모두 같이가자 조용히 좀 해봐 이것좀 봐 봐 내말좀 들어봐  여길좀봐 봐 이 사진속에 너무나 예쁜 그녀가 바로 내가 어제 화상 채팅에서 환상의 45도 각도 캠빨로 그리고 죽이는 말빨로 내여자로 만들었어 말해봐 니가볼때는 어때 예예예 사랑을 하나에 성취라 생각하는 여우들이여 봐봐 예예예 희망을 버리지 않고 사랑을 부르는 남자들이여 봐봐 예예예 사랑에 속고 넘어가 무너져 가는 자신을 봐봐 예예예 여자들이란 같아 다같아 여우들이야 야 너 잠깐만 장난 하지마 그여자는 내가 몇일전에 미팅에서 만나 사귀게 됐던 청순하다 던 바로 그여자야 이일이 어찌된거야 뭐야 이 GIRL 내가 봤던 GIRL 클럽에서 만난 GIRL SEXY GIRL 이게 왠걸 아닐꺼야 생각해도 너무 같은 걸 또 이름과 전화번호 까지도 같은걸 아니 나의 그녀가 이렇게 나쁜여자 였다니 Oh 아무말 할수없고 그럴리 없고 그녀는 NO NO 우리사랑Feel 이쁜 그녀는Liar 돌려 머리 굴려도 우리중 그녀는 나를 좋아해 내게 다가와 내게 다가와 내게 다가온 너 그런널 보낼수 없어 내게 다가와 내게 다가와 내게 다가온 너 그런널 보낼수 없어
20020326,큐오큐,얼렐렐레 애들 왜 이래?,male,댄스,-,-,-,-,"Let Me Tell You About This Chick That I Saw. Body Bass Boomin That'll Make A Nigga(Ahh!) Homie Told Me That The Club Was Poppin As I Walked In Saw This Honey Within She Was 5'10"" with Really Brown Eyes She Was Chillin At The Bar When I Started To Realized That This Honey's Not A Honey But A Nigga In Disguise! Give Me The Microphone JC 상훈이 From Everybody S.A.N.G.M.I.N.D 우리 같이 다같이 Q.O.Q YO!! 이래뵈도 여자에게 매너만은 King!! 그녀 아닌 닫른Girl과는 절대 Nod Something!! 이번 얘기 여기 형준이의 바른생활 이야기Ha Ha~ 나와 내여자친구가 만난지가 1000일이 지났어도 아직도 내여자 친구 손한번도 잡아보지 않은나야 바른생활사나이야 이런 나야말로 진짜 남자 절대로 고자여서가 아닌 지킬건 지키는 남자 맞아 멋진 남자 아자! (아자)아깝게 생각된다 나에게 저여자!! (아자) 어디가 좋아서!!! 길(길)가다가 다뻑(뻑)가는 여자 지나가도 나는 그저 너 생각하며 눈길을 피하자 작지만 이렇게 진정한 마음가짐 아니니? 3.2.1.2 Ribic Ribic Ribic YO 얼렐렐렐렐레 우리 왜이래 예~ 얼렐렐렐렐레 난 변했어~ 얼렐렐렐렐레 지금이때 변했을때~ 얼렐렐렐렐레 나를 바꿔~ 쳇 뭐야 나 야 짠~!! 오~ 행복한 마음으로 오~ 행복한 순간으로 자신을 만들어가 시간을 돌이켜봐 흘러간 시간을 모두기억 미래는 모두 행복! 우리가 어리게 생각될지 몰라도 10년후의 세상은 우리가 바꿔 My name is Amen 이라는 이름안에 Gentleman때로는 난 Superman으로 변해 (Superman) 내 여자손댔다가 모두 내가 파박팍팍(아~ 아파 라)모두 다 길비려카 Watch out 내 님 건드리다 너가 다칠라 버스나 지하철에서 노약자 자리 꼭꼭비워두기~ 음식을 먹을때도 소리내지 않고 입 다물고 먹기~(AllRight~AllRight~) 내 친한친구의 여자친구보고 침 흘리지 않기!!(흐흐..) 이 모든것들이 다 Gentleman이 지켜야 할 소수의 몇가지 사항!"
20020326,큐오큐,Jump,male,댄스,-,-,-,-,힘든일 잊어요 랄랄랄랄랄라 소리를 질러요 랄랄랄랄랄라 외로움 슬픔은 모두 벗어 던지고 더밝은 내일로 랄랄랄랄랄라 JUMP JUMP 더높이 오르려다 JUMP JUMP 더더 높이 오르려다 JUMP JUMP 더더더 높이 오르려다 JUMP JUMP 너 그러다 떨어질라 부셔부셔 Whut Whut 깨부셔 부셔 Whut Whut 한도 끝도 모르고 부리는 지나친 욕심을 버려 서로 서로 맞물려 살아가 어울려 디기덤 디기덤 디기디기덤디기덤 친구 마저도 너를 멀리하고 이제 아무도 니곁에 남아 있지않아 그 무엇도 너와 손잡으려 하지않아 그러면 보나마나 뻔해 넌 분명 잃는것이 더 많아 때로는 뒤를 돌아봐 그리고 주위를 둘러봐 거울에비친 니 모습을 좀봐 너무도 지친모습이야 그건 아냐 서로를 도우며 나가는 거야 예전에 모습은 잊고 그저 조금만 양보 너 너 너 너무도 큰 욕심 때문에 더 더 더 높이 오르려고 만하네 그럼안돼 난반대 생각해야 될 상대 혼자사는 세상이 아니기에 그래 기분이 좋아 함께 할수 있다는게 즐거워 좋아 사랑해 살아 그댈 사랑할수 있다는게 좋아 나는좋아 그대 나를 세상과 바꿀수 없다면 이미 날안아 세상을 다가진것 같다면 사랑하고 싶어 Yo Yo Oh ye Come On Let Me Go 날따라와 여기로 좀더 너 너 너 좀더 높이 오르려고 만하지 말고 날따 라와 여기로 준비됐어 너 우리 모두 모두 같이 다 같이 한치 앞을 알수없는 세상도우며 살아가 같이 아직늦지 않았지 이제부터 우리 한발짝 물러서 우리 귀기울여봐 타인의 소리 우리 하나되 좀더 좀더 하나가 되 미래 밝은 미래원해 Want It 그래 우리들의 밝은미래 그것을 위해 우린 하나 되어 혼신의 힘을 다해 노력해 나가야 만해 세상속에 찌들었던 인상을 펴 어깨를 펴 오랜 시간 달려왔던 발걸음멈쳐 크게 숨셔 그동안 그대가 잊고 있던 하얀 꿈들을 펼쳐 가슴속에 담아둔 예쁜 그림을 그려 소리쳐 발맞춰 한걸음 한걸음 더 앞으로 앞으로 우리 다같이 진보 지나친 욕심은 버리고 희망찬 미래를 위하여 모두가 다같이 서로를 도우며 나가자 Always Happy Always Smile 모든 걱정들은 떨쳐 버리고 Enjoy Yo Life 쌓이고 쌓이고 쌓였던 맘에 피로 모두날려 휙휙 웃으면서 달려 JUMP JUMP 더 높이 오르려다 JUMP JUMP 더더 높이 오르려다 JUMP JUMP 더더더 높이 오르려다 Danger Danger 너 그러다 엎어질라 기분이 좋아 함께 할수 있다는게 즐거워 좋아 사랑에 살아 그댈 사랑할수 있다는게 좋아 나는좋아 그대 나를 세상과 바꿀수 없다면 이미 날 안아 세상을 다 가진것 같다면 사랑하고 싶어
20020326,큐오큐,배신,male,댄스,-,-,-,-,미쳐버리겠어 숨이막혀 너와함께 웃던 내가 머리속을 스쳐 심장의 고동소리 터질것만 같고 가슴한구석엔 비수가 꽃혀 미치도록 좋아했는데 널 안고 기뻤었는데 그토록 믿었었는데 이런날 두고 그런데 내맘을 갈기갈기 찢어놨어 너를 보면 죽여버리겠어
20020326,큐오큐,Kill My Girl Friend,male,댄스,-,-,-,-,누가 제발 내 여자친구 좀 찾아줘요 찾아서 나에게로 데려다 주세요 아직 다 못한 말 날버린 이유 왜 그래야 했는지 꼭 한번들어야 될 것만 같아요 우린 행복했었지 그누가 봐도 아름다운 커플이었어 오 뷰티폴 지금 내모습 뭐 때문에 이리된건지 모르지만 모르겠어 나는모르겠어 너 하나 떠나고 나 완전히 폐인 되버리고 나서 오노 안돼 하루하루 아무생각할수 없고 난 안절부절 안절부절 내몸이 부르르 떨려 사귈때는 나를 그렇게 못살게 굴더니 나보다도 나의사랑 나보다도 나의사랑 나타나니 너는 나를 버리고 훌쩍 날라버렸어 날버렸어 너는 맛이갔어 그렇게도 나를 사랑한다고 나없이 않된다고 하던너 뻥이었어 나 24시간을 2년간 널 위해 보내줬어 나는 오직 일편단심 누가 제발 내 여자친구 좀 찾아줘요 찾아서 나에게로 데려다 주세요 아직 다 못한 말 날버린 이유 왜 그래야 했는지 꼭 한번들어야 될것만 같아요 지금 생각해보면 넌 치밀한 계획적이었어 오 놀라워 오 써프라이즈 오 놀라워 지금에 니 남자친구에게 접근하기 위해서 은근슬쩍 아주 은근슬쩍 그러지 않고서 그렇게 널 싫어하던 내친구가 너에게 넘어갈 수 없어 넘어갈 수 있어 뭔가가 수상하잖아 정말 수상해 수상해 이제 난 나쁜놈 됐어 넌 천사가 됐어 너만 좋은거 다해먹어 너의 사랑이 이제야 너에게 간거지 뭐 하지만 난 친구잃고 여자잃고 이게 다 너 때문이야 난 난 이제 모든게 끝났어 정말 빡이돈다 빡이돌아 오 너 혼자다니는 걸 피해야 돼 항상 니 뒤를 조심해라 오 너 밤에 집밖에 나오면 안돼 그러다 걸리면 장가 못 가 널 밖에서 보게되면 나 사고칠지도 몰라 넌 걸리면 죽을지도 몰라 죽여버릴지도 몰라
20020326,큐오큐,No No,male,댄스,-,-,-,-,너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 하늘이 가슴이 한 순간에 무너져 내렸지 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 솔직한 내 맘 비수가 꽂혀 찢겨져 버린 맘 나도 돌아 버리겠어 너무 바보같던 내 모습 너무도 너를 좋아했고 그로 인해 니 앞에서면 작아지는 나 너와 헤어져 돌아오면 왜 그랬을까 정신 못차릴까 내 맘 알까 그런 나 하루에도 수없던 후회 너에게 아무말 못했던게 내 문제 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 하늘이 가슴이 한 순간에 무너져 내렸지 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 솔직한 내 맘 비수가 꽂혀 찢겨져 버린 맘 난 매일 매일 every day 너의 생각만으로 가득찼던 나날들이 왜 이리 좋았는지 허나 이미 넌 날 지금 떠나 갔지 나의 태도 너무도 남자로선 소심했던 그로써 널 슬프게 했던 아프게 했던 허나 이것만은 알아줘 알아둬 난 너만을 영원히 사랑하겠다는 걸 비가 내린다 비가 내린다 내 맘속에 비가 내린다 비가 내린다 비가 내린다 비가 내린다 내 맘속에 지울 수 없는 비가 내린다 바로 그 때 뭐 어때 그냥 지나치듯 지나가 상관말고 가 니가 클 때 다시 줄게 지금은 니가 작아 이 여자를 줄 수가 없어 비가 올때 남자답게 찢어진 가슴을 부둥켜 안고서 찾아와봐라 너의 도전을 다 받아줄께 근질근질한 이 몸이 다 받아줄게 솔직한 내 맘 너무도 갈기갈기 찢겨버려 걸레가 되버려 더 넌 그렇게 멀어져 갔어 먼 산 바라만 보고 뱉던 수백번의 한 숨은 참지 못해 너무도 간절히 원하고있어 널 가슴 깊은 곳으로부터 너와 나만의 시간을 되세기며 말하지 못했던 참지 못했어 오랜시간 묻어둬야만 했던 너만을 죽도록 갈구한 나 이제는 돌아와 내 모든걸 바칠게 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 하늘이 가슴이 한 순간에 무너져 내렸지 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 솔직한 내 맘 비수가 꽂혀 찢겨져 버린 맘 아무도 너 쳐다보지 않을때 너 홀로 방안에 갇혀 있을때 남 모르게 너 혼자 무섭게 단련한 너 너무도 변해 버린 지금의 넌 대단해 대단해 세상에 이렇게 주먹이 꽉 찬 남자가 나타났어 소심해 소심해 세상에 숙였던 내 모습 어디로 갔나 새로 태어난 나 Walking In The Rain But Now I'm The One Who's Walking With Me 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지 Walking In The Rain But Now I'm The One Who's Walking With Me 너의 집 앞에 너를 보러갔을 때 내가 보면 안 될 상황 벌어지고 말았지
20020326,큐오큐,주의,male,댄스,-,-,-,-,Danger Bring it back come rewind Danger QOQ son the mind Danger 이제다주마 Danger So what chagouna say now Danger Bring in back come rewind Danger QOQ son the mind Danger 이제다주마 Danger So what chagouna say now 돌고 돌아가는 세상 지금 그대가 보고 있는것은 현실이 아닌 그저허상 끊임 없는 가식으로 가득찼던 가 그 안에서 너를 조여왔던 포위망 너를 항상 속아넘어 뒤통수를 맞고 상상 속에서만 승리를 맛봤어 이제 굳게 닫혀있던 맘에 눈을 바로 떠 모든 만물들을 깊게 주시하고 가르켜 주위를봐봐 둘러봐봐 저 모두가 바로 너의적이야 뭐야 크게 놀라지마 하나같이 너의 뒤만 노리고 있다 Watch out Now 하나 하나 서로의 머리만 밟고 올라가려는 인간들로만 넘쳐난 살벌한 세상에서 살아가 그렇고 그런거지 그렇고 그런거지 난 이미늦었어 난 이미늦었어 널갖고 놀아주던 널갖고 놀아주던 그에게 키스해 그에게 키스해 지금에 너에 눈과귀는 멀어 지금에 너에 눈과귀는 멀어 그 무엇을 향해 걸어 그 무엇을 향해 걸어 자 이제 세상에 최면에서 깨어나 일어나 3 2 1 Red Sun 하루가 멀다하고 변해버리는 너무도 앞선 그래서 때로는 낯선 세상이 던진미끼의 유혹 뿌리치지 못해 현혹 된다면 그 뒤에 가려진 바늘의 날카로움에 당해 매일 매일 아침부터 저녁까지 우린 살면서 보고있지 모두 알지 그것들은 서로 속고 속이는 삶의 전쟁이지 다같이 모두같이 보고듣지 사람들의 가식을 배우지 따라하지 삶을 살기위한 정글의 법칙이지 그렇고 그런거지 그렇고 그런거지 난 이미늦었어 난 이미늦었어 널갖고 놀아주던 널갖고 놀아주던 그에게 키스해 그에게 키스해 3 4 절대 긴장을 풀지 말고 적대감 따위는 버리고 그누가 그대보고 뭐라해도 신경쓰지 말고 니 가슴에 담겨진 큰 꿈을 믿고 GO GO 거침없이 너의 몸을 날려 니 몸을날려 지금보다 더 높은 곳으로 지금보다 더 더 높은 곳으로 그 목표지점으로 그자리로 볼륨 업 뿌리쳐 너 막 부딪혀 그대로 제껴 나가 이제 엎어쳐 닥쳐 내게 위선 가득차 짖어대던 목소리 낯쳐 마쳐 날바쳐 믿어왔던 너에게 난 발등을 찍혀 넌 배껴 훔쳐먹고 어린아이 두눈속에 그 모습이 비쳐 모르면 다쳐 이곳은 Danger 수많은 칼날위에 니 자신을지켜 모두가 모두다 미쳐가 그속에서 나 또한 미쳐가 너무나도 변해버린 세상에서나 세상에서나 내등뒤는 오싹 내정신은 혼란 나를 항상 가만히 두질 않아 정말 난 난 What 돌아버릴 것 만같아 미쳐 버릴것 같아 그렇고 그런거지 그렇고 그런거지 난 이미늦었어 난 이미늦었어 널갖고 놀아주던 널갖고 놀아주던 그에게 키스해 그에게 키스해 그렇고 그런거지 그렇고 그런거지 난 이미늦었어 난 이미늦었어 널갖고 놀아주던 널갖고 놀아주던 그에게 키스해 그에게 키스해
