년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20070125,테이크,다시 만나도,male,"발라드, 국내드라마",-,-,-,씨아이ENT,내가 비켜서 주면 돼 나만 없어져 주면 돼 어차피 세월 속에 묻어갈 뿐 조금 잃은 것 뿐일텐데 쌓인 먼지를 치우듯 묵은 한숨을 날리듯 사랑도 지우고 이별도 날려 아까운 날 사라지기 전에 가파른 길인걸 그땐 몰랐어 쉬어 갈때를 알지 못해 힘든거야 이 모든일이 추억으로도 남겨지지 않길 바래 다시 너를 만나도 내 마음 추스릴 수 있게 너만 그대로 가면돼 너만 모른척 하면돼 빛 바랜 시간 속에 흩어질 걸 조금 서두른 것 뿐인데 외로운 길인걸 그땐 몰랐어 감싸 줄때를 알지 못해 아픈거야 이 모든 일이 흔적 조차도 남겨지지 않길 바래 다시 너를 만나도 미련도 원망도 모르게 가파른 길인걸 그땐 몰랐어 쉬어 갈때를 알지 못해 힘든거야 이 모든일이 추억으로도 남겨지지 않길 바래 다시 너를 만나도 내 마음 추스릴 수 있게 내 모든일이 흔적 조차도 남겨지지 않길바래 다시 너를 만나도 미련도 원망도 모르게
20070125,테이크,다시 만나도 (Acoustic Ver.),male,"발라드, 국내드라마",-,-,-,씨아이ENT,내가 비켜 서 주면 돼 나만 없어져 주면 돼 어차피 세월 속에 묻어 갈 걸 조금 이른 것 뿐일텐데 쌓인 먼지를 치우듯 묵은 한숨을 날리듯 사랑도 치우고 이별도 날려 아까운 날 사라지기 전에 가파른 길인걸 그 땐 몰랐어 쉬어갈 때를 알지 못해 힘든거야 이 모든 일이 추억으로도 남겨지지 않길 바래 다시 너를 만나도 내 마음 추스릴 수 있게 외로운 길인걸 그 땐 몰랐어 감싸줄 때를 알지 못해 아픈거야 이 모든 일이 흔적조차도 남겨지지 않길 바래 다시 나를 만나도 미련도 원망도 모르게
20061207,테이크,한마디,male,발라드,-,-,-,씨아이ENT,아무것도 할 수 없다고 아무말도 할 수 없다고 잘가 잘가 내가 할 수 있는말 아무런 대답 하지마 아무것도 바라지는마 잘가 잘가 이 말 하나 기억해 더 멀어진 그대 숨결이 잃어 버렸던 내 눈물 속으로 오면 또 다시는 속지 않겠다 다짐 해왔던 그 사랑이 날 너무 힘들게해 아무것도 할 수 없다고 아무말도 할 수 없다고 잘가 잘가 내가 할 수 있는말 아무런 대답 하지마 아무것도 바라지는마 잘가 잘가 이 말 하나 기억해 난 슬픔을 감춰 보려고 그대 얼굴도 볼수가 없어 고개만 떨구고 아무말도 없는데 왜 넌 그렇게 또 쉽게 말을 하니 이 헤어짐이 익숙해진 사람처럼 이렇게 아픈상처 갖지 말라고 행복하게 살아 가라고 그말 그말 모두 거짓 이라고 아쉬운 바램 이라고 잊혀지면 끝인거라고 그말 그말 상처 되는 한마디 모질게 돌아선 널 왜 남겨 두려고 음 아픈 기억이 두려워 널 잡고 있나봐 아무것도 할 수 없다고 아무말도 할 수 없다고 잘가 잘가 내가 할 수 있는말 아무런 대답 하지마 아무것도 바라지는마 잘가 잘가 이 말 하나 기억해 아픈상처 갖지 말라고 행복하게 살아 가라고 그말 그말 모두 거짓 이라고 아쉬운 바램 이라고 잊혀지면 끝인거라고 그말 그말 상처 되는 한마디
20061207,테이크,Hope,male,발라드,-,-,-,씨아이ENT,Oh I gotta find it one day I was dreaming I finally have it in my arms tomorrow is coming you know that it's growing now is the time to stop the pain and let go 난 작은 일도 해내지 못해 늘 포기하고 난 지쳐가도 난 세상에 발을 딛고 난 슬픈 눈물도 감춰가며 또 가끔씩은 난 웃어보려 난 수없이 노력 했지만 지친 어깨위로 흐르는 삶의 무게들이 스쳐가면 모두 버리고 싶은걸 And I will stand by you 나 사랑하고 또 사랑해도 더 모자란 시간들인데 And you'll be safe in my arms 너 어느곳에 그 어디라도 또 시작해 잃어 버린 꿈을 찾아서 내 믿음 하나 간직 하는게 늘 어렵지만 늘 힘들지만 날 일으켜 주는 힘인데 다시 시작하는 지금이 많이 힘들어도 눈을 뜨면 다른 세상이 있는걸 And I will stand by you 나 사랑하고 또 사랑해도 더 모자란 시간들인데 And you'll be safe in my arms 너 어느곳에 그 어디라도 또 시작해 잃어 버린 꿈을 찾아서 쉽게 무릎 꿇었던 시간이 영원하진 않아 아직 많은 소망이 영원하길 여기남아 And I will stand by you 나 사랑하고 또 사랑해도 더 모자란 시간들인데 And you'll be safe in my arms 너 어느곳에 그 어디라도 또 시작해 잃어 버린 꿈을 찾아서 함께 나눠 가져요 나 사랑하고 또 사랑해도 더 모자란 시간들인데 다시 시작 해봐요 너 어느곳에 그 어디라도 또 시작해 잃어 버린 꿈을 찾아서 꿈을 찾아서 Oh I gotta find it one day I was dreaming I finally have it in my arms tomorrow is coming you know that it's growing now is the time to stop the pain and let go 다시 시작해
20061207,테이크,Think About Me,male,발라드,-,-,-,씨아이ENT,그대 모습에 내 눈이 멀어지는걸 아주 멍하니 내 몸이 굳어지는걸 아무 생각도 난 지금 할 수 없는걸 또 흐려지는건 내 눈만이 아니란게 느껴지는걸 i need you 내게 다가오는 상상속의 너 i want you 오늘 하루만은 내 여자가 되어주기를 oh oh oh oh 다른 사람은 안돼 oh oh oh oh 오직 너만을 원해 oh oh oh oh 오늘 하루만은 쉽게 think about me oh oh oh oh 내가 말하려 할때 oh oh oh oh 나를 바라봐 그대 oh oh oh oh 아무 생각하지 말고 think about me girl 나를 보는 그 눈빛이 다가오는걸 순간 모든게 멈춰버린 느낌이란걸 쉿 좀더 천천히 쉿 좀 더 다가와 아무것도 모르게 조금씩 i need you 니가 생각하는 그것보다 더 i want you 내가 다가서는 그 만큼만 받아 주기를 oh oh oh oh 다른 사람은 안돼 oh oh oh oh 오직 너만을 원해 oh oh oh oh 오늘 하루만은 쉽게 think about me oh oh oh oh 내가 말하려 할때 oh oh oh oh 나를 바라봐 그대 oh oh oh oh 아무 생각하지 말고 think about me girl 점점 커지는 그 음악 소리 아무 말 한마디 없어도 아무 상관 없잖아 이대로도 괜찮아 지금 이 순간엔 그대 눈빛 하나로도 충분해 oh oh oh oh 다른 사람은 안돼 oh oh oh oh 오직 너만을 원해 oh oh oh oh 오늘 하루만은 쉽게 think about me oh oh oh oh 내가 말하려 할때 oh oh oh oh 나를 바라봐 그대 oh oh oh oh 아무 생각하지 말고 think about me girl oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh think about me girl
20050527,테이크,나비무덤,male,발라드,-,최태규,최정민,씨아이ENT,standing beside you as sleep  wipe my tears as I close the door  불러도 대답이 없어요 제발 날 불러봐요    아무말도 안할거란걸 알아  그렇게 못할 것도 알아  하지만 너 무슨말을 할까봐  조용히 귀를 열고서  아직 너의 집을 서성거리죠    아마도 예전처럼 날보며 웃을 니 생각에  자꾸 잊게 되어가는나    나는 너를 못봐도 난 너와 아직 있는데  매일 니생각 날때면 이렇게  난 니앞에 앉아 있어  세월 흘러가면서 나 자꾸 지워지겠지  이젠 더 이상 버티기 힘들어  너를 잊는 나를 용서해    내 눈물도 말라 가겠죠 이젠  더 이상 흐르지도 않죠  하지만 더 깊어가는 숨소리  내곁에 멈춰 잠들어 하루종일 너를 찾게 되는걸    아마도 예전처럼 너 따뜻하진 않겠지만  그건 나의 운명이니까    나는 너를 못봐도 나 항상 여기있는데  매일 니생각 날때면 이렇게  난 니앞에 앉아 있어  세월 흘러가면서 난 자꾸 지워가겠지  이젠 더 이상 버티기 힘들어  너를 잊는 나를 용서해    너를 이렇게 안아봐도 난 아무 느낌 없어  이젠 너 없는건지 왜 그걸 모르니 넌 이미 여기엔 없는데  하늘이 갈라놓은 너와의 이별을  돌릴순 없어 나 잊혀진 추억에 널 남겨둘게    나는 너를 못봐도 나 항상 여기있는데  매일 니생각 날때면 이렇게  난 니앞에 앉아 있어  세월 흘러가면서 난 자꾸 지워가겠지  이젠 더 이상 버티기 힘들어  너를 잊는 나를 용서해    standing beside you as sleep  wipe my tears as I close the door  언제나 니곁에 있을게    standing beside you as sleep  wipe my tears as I close the doorwipe my tears as I close the door
20050527,테이크,To Girl,male,발라드,-,최태규,최정민,씨아이ENT,Say Ah Ah Say Oh Oh Say Uh Uh Say Yeah Yeah Yeah baby baby baby 십분도 못참아서 벌써 너는 간거니 내가 늦은것도 처음 일인데 넌 매일 늦었는데 난 참아 왔었는데 전화도 꺼놓고 지금 어디에서 무얼 하는데 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그래 넌 이기적이야 내게 잘못했던 일들도 미안하다 사과한번 안하고 먼저 토라져서 화내고 아무일도 없다는듯 말하고 no no 다른 여자보는 you said no 전화하는것도 just no more 내가 연락하는 여잔 모두 바람이고 니가 통화하는 남잔 전부다가 친구라고 이건 너무해 니 기준 속에서 사는건 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그런 넌 이기적이야 변하고 싶은 마음 전혀 안드니 날 위해 노력해줘봐 너의 마음대로만 모든걸 니 뜻대로만 한데도 내맘은 변하지가 않아 너같은 type ot girl 영화나 드라마에서 볼수 있는 kind of girl 난 항상 kinda swirl I'll give you the world 난 너같은 걸 착하다고 너를 믿는다고 always give you diamonds and pearls baby girl 지 밖에 모르는 스타일 너무나도 이기적인 너같은 여잔 just not my style 나같은 guy가 감당하기가 so tired 하지만 난 you're still my baby for life 피할수 없나봐 자꾸만 끌려가 도대체 어디가 맘에 드는건지 나 어쩔수 없나봐 사랑만 커져가 이상한 매력에 조금씩 빠져가나봐 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그런 넌 이기적이야
20050527,테이크,524일 후,male,발라드,-,최태규,신승희,씨아이ENT,늦은 밤에 울리는 전화벨 긴잠이 달아났어  흐느끼며 흘리는 니 목소리 슬프게 다가와서  뭐가 그리 슬프니  또 이렇게 숨도 못쉬게 할만큼  왜 자꾸 울기만 하니 바보같이  어떤 사람이 널 아프게 하니  아무 말도 하지마 나는 충분하니까  그저 아무 말 없이 또 이렇게 떠나 혼자 남을 걸 알아 모두 내 몫이라고 수없이 다짐했나  그렇게라도 잊게 해줄래  난 술에 취해 있는 네게가  너의 옆에서 어깨 감싸 안으면서 나 지난 추억이 자꾸 떠올라 힘들어 한숨 만이 유일한 내 위로일 뿐이야  잘 잊고 잘 살았는데 왜 이래  너무 초라해져 지금 난 그저  아무 말도 하지마 나는 충분하니까 그저 아무말 없이 또 이렇게 떠나  혼자 남을 걸 알아 모두 내 몫이라고 수없이 다짐했나  그렇게라도 잊게 해줄래  그냥 잊혀져간 채로 이대로 날 버려도  시간이 가면 그에게 갈꺼야  어린 아이처럼 숨막히게 나를 조르고 있잖아  날 놓아주겠니  아직 그 자리라면 거기 그대로라면 너의 빈자리 찾아 나 가고도 싶어 하지만 이제 너무 늦은 얘기 인가봐  모든게 낮설어 나 그저 주면 되는데  난 두려워져
20050527,테이크,It`s Mine,male,발라드,-,"최태규,  이승현,  김도완",최정민,씨아이ENT,suffocated frustrated 너 없이 난 everyday 내 머릿속에 네 사진 하루하루 as days go by 오직 니 생각나 오직 그것 뿐이야 only just you and I 네 향이 떠올라 나를 미치게 해 내 생활속에 유일한 낙 I'm all alone I called you on the phone 사랑은 아직 uh uh 우리의 영원한 운명은 아무도 바꿀수는 없어 한때는 믿음으로서 사랑만을 해왔던 너와나 한치의 의심도 없이 행복하게 지냈지 너무나 지금은 그때가 그리워져 슬퍼와 그 놈의 전화 한통에 내 가슴은 찢어져 아파와 두사람의 하나를 내가 선택한다면 날 사랑한 누구도 지금 얘기할순 없어 두 사람을 모두다 사랑할순 없지만 놓치긴 싫은데 너무 이기적인 나인걸 You gotta make your mind on where your going no more messing around with other little boys You gotta make your mind on where your going no more messing around with other little boys 너의 모습이 어이가 없어 더이상은 나도 참을수가 없어 그까짓 남자 하나에 넘어가는 너를 다시 보게됐어 여기서 계속 난 고통속에서 고민하기 싫어 너하나 지우려고 해도 애타게 찾아도 어쩔수가 없어 됐어 둘중에 니 남자로 그 사람은 바로 나로 하나로 그대로 다시 모두 첨으로 그만큼 너를 위한 진실한 사랑만이 가슴속에서 간절함으로 거기까지 이제는 더이상 듣기 싫어 생각해 봐봐 재는 원래 내꺼잔아 하지만 지금까지 있었던일 따지고 싶은 생각은 없어 그치만 더이상의 너의 여자도 너의 사랑도 될순 없어 두사람의 하나를 내가 선택한다면 날 사랑한 누구도 지금 얘기할순 없어 두 사람을 모두다 사랑할순 없지만 놓치긴 싫은데 너무 이기적인 나인걸 You gotta make your mind on where your going no more messing around with other little boys You gotta make your mind on where your going no more messing around with other little boys You gotta make your mind on where your going no more messing around with other little boys You gotta make your mind on where your going no more messing around with other little boys 날 뭐라고 욕해도 이제 상관 없는걸 언제라도 떠나가 내가 싫어지는 순간 난 사랑할 자격도 없단 뻔한 거짓말 어쩔수 없는데 난 두사람 다 좋은데
20050527,테이크,To Guyz,male,발라드,-,최태규,최정민,씨아이ENT,baby baby baby 뭐가 또 문젠거니 어제 그 일 하나로 하루종일 너는 말도 안하니 난 벌써 잊었는데 난 항상 똑같은데 조금은 솔직한 나의 성격갖고 시비거는데 생각만 했어 해결을 못했나 질투가 심했어 모든게 날 구속해 결단이 빨랐어 급하게 결정해 뒷끝이 없었어 모든 걸 빨리 잊어 난 하고 싶은말은 해야되 좋아하는 감정 숨기지 못해 질질끄는것도 난 안돼 나의 생각 굽히기도 싫어해 no no 그런 소심함의 이젠 no 서툰 판단들의 just no more 수없이도 많은 오해들만 생기게해 한남자만 바라보면 그걸로 난 끝인거야 목숨까지도 버릴수 있는걸 모르니 생각만 했어 해결을 못했나 질투가 심했어 모든게 날 구속해 결단이 빨랐어 급하게 결정해 뒷끝이 없었어 모든 걸 빨리 잊어 난 아직도 너는 크게 상처받았니 아무런 생각없이 한 말이야 자존심이 강해서 난 네게 미안하다고 말할 수 없는걸 이해못하겠지 남들이 내게 뭐라 말을해도 난 결국 사람들의 시선은 내게로와 너조차 그걸 부인할순 없잖아 이제 끝내 포기하고 내게 돌아와 앞으로 하나만 알고 달리는 열정으로 가진 친구여 쿨하고 멋진 모습 그대로 이대로 살면되 제대로 그냥 이대로 나만한 여자가 있다면 찾아봐 내게로 다가와 내 마음을 느껴봐 아직도 모르니 널 향한 사랑이 얼마나 큰건지 이런 날 이해 못하니 내 생각만 했어 해결을 못했나 질투가 심했어 모든걸 날 구속해 결단이 빨랐어 급하게 결정해 뒷끝이 없었어 모든 걸 빨리 잊어 난
20050527,테이크,To Girl (J Style Club Remix),male,발라드,-,최태규,최정민,씨아이ENT,Say Ah Ah Say Oh Oh Say Uh Uh Say Yeah Yeah Yeah baby baby baby 십분도 못참아서 벌써 너는 간거니 내가 늦은것도 처음 일인데 넌 매일 늦었는데 난 참아 왔었는데 전화도 꺼놓고 지금 어디에서 무얼 하는데 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그래 넌 이기적이야 내게 잘못했던 일들도 미안하다 사과한번 안하고 먼저 토라져서 화내고 아무일도 없다는듯 말하고 no no 다른 여자보는 you said no 전화하는것도 just no more 내가 연락하는 여잔 모두 바람이고 니가 통화하는 남잔 전부다가 친구라고 이건 너무해 니 기준 속에서 사는건 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그런 넌 이기적이야 변하고 싶은 마음 전혀 안드니 날 위해 노력해줘봐 너의 마음대로만 모든걸 니 뜻대로만 한데도 내맘은 너같은 type ot girl 영화나 드라마에서 볼수 있는 kind of girl 난 항상 kinda swirl I'll give you the world 난 너같은 걸 착하다고 너를 믿는다고 always give you diamonds and pearls baby girl 지 밖에 모르는 스타일 너무나도 이기적인 너같은 여잔 just not my style 나같은 guy가 감당하기가 so tired 하지만 난 you're still my baby for life 피할수 없나봐 자꾸만 끌려가 도대체 어디가 맘에 드는건지 나 어쩔수 없나봐 사랑만 커져가 이상한 매력에 조금씩 빠져가나봐 알량한 이기심 가진건 자존심 니 생각만해선 세상살기 힘들어 도대체 어떤 type 이해할수 없는 type 모든게 성격탓 그런 넌 이기적이야
20050527,테이크,나비무덤 (Instrumental),male,발라드,-,최태규,최정민,씨아이ENT,-
20030417,테이크,You Don`t Know,male,댄스,-,-,-,씨아이ENT,"Dome my home six shots to the dome with the phone tap gun clap boom when the chrome snap bust  that ruggity rhyme, it's time can I bust that hit right now  let me drop that like a totted 9,  i'm about to rock the party right,  with a one two boxing hot all night,  cuz I want to make you feel alright, can I come to drop the rock up in the spot.  Bop your heads up in the park break it down. 오늘이 어제와 다른 건 또 다른 세상이 있는 건  나 사는 이유가 너이기 때문이야. 낯설은 세상에 지쳐도 길 없는 미래가 보여도  날 보며 웃어줄 널 위해 사는거야 때로는 겁이나 너에게 다 주고 남은게 없는 내가 혹시 널 잃으면 버틸 수 없잖아 그게 바로 나야 You don`t know me at all 나를 어리게 보지마  날 봐 내눈 속에 담겨진 내 진실을 love me You don`t know true my heart  날 봐 못할게 없는 거야 내 속엔 나 아닌 니가 있으니 all my past days, spent time in a vast maze,  at the last stage, broke down, like a glass vase,  with the firstcrack, hit hard like an attack,  can you come back, one more time just like that 어제와 다른 오늘이야, 내게다 줄 수 없던걸,  미안해하지마, 내가 살아가는 이유 오직 너뿐이야, 버틸수 있게 이제 내곁에 남아... yo feelin so alone, don't know me at all, yo,  sittin uptight just wait me to fall,  uh, back on the wall, will I rise or fall, i'm a never give you up be strong stand tall yo 길없는 미래가 보여도, 낯선 세상이 목을 조여도, 내 맘을 보여줘, 날 보며 울어줄 널, 위해 살아갈게, 너무나 사랑스러워  uh미안해하지마 하루에 모든게 바꿔질 순 없잖아  천천히 내게와 기다려줄꺼야 그게 바로 나야 You don`t know me at all 나를 서툴게 보지마  니가 원한다면 뭐든지 될 수 있어 love me You don`t know true my heart  날 봐 지치진 않을거야 혼자가 아니야 니가 있으니 때로는 겁이나 너에게 주고 다,  내게 남은 아픈 사랑만이 떠올라, 떠나가지마, 뒤돌아보지마,  한걸음 다가와make it funkdafied, 반복된,기나긴 날들, 약속된, true to my heart  이미 내 맘속에, 너를 기다려줄게, 내곁에, 다가와, 내가 hold you tight, make it rightfrom the other side, come close can't deny, T, tears in double eyes, fortified love, like a white dove, fly, let's ride, show me love, da nuff respect,  coming correct check it out. 미안해하지마, 나는 괜찮아,  하루만에 모두 바꿀순 없잖아, 혼자가 아니야, 아무렇지 않아, 너만 곁에 있어, 내맘 절대 변치 않아..."
20030417,테이크,Baby Baby,male,댄스,-,-,-,씨아이ENT,Baby baby yo It's about time move on And if you come hu give me love All you need is call I'll catch you If you call 이런 나의 손을 잡아요- You're my girl 너뿐이란 걸 I swear 날 믿어도 좋아 My love 이젠 너에게 내가 있어 Always be with you baby baby  두눈 가득 고인 눈 물 조금씩 사라져간 그 미소 내가 찾아줄게 이젠 너에게 슬픔따윈 없을거야 oh- oh-  Yo yo 오랫동안 지녀왔던 내 맘속의 설레임 나 세월속에 조여져 나를 너무나도 숨막히도록 만들어가는 너의 다른 사랑이 이제 모두 끝나길 Hopping everything will end 너를 가둔 상처속에 모두 지쳐있던 마음들이 모두다 하나둘씩 걷혀 이제 너를 향해 난 더 크게 소리쳐 Give me your love come into my arms I'll take you to the stars yo 영원토록 너 간직해줘 나의 사랑 이젠 그 맘을 내게 열어주겠니 그 안에 나를 가득 채울게 나 아닌 그 누구도 널 가질 수 없게 Baby baby 두눈 가득 고인 눈 물 조금씩 사라져간 그 미소 내가 찾아줄게 이젠 너에게 슬픔따윈 없을거야 baby baby  Baby baby baby baby  baby baby yeah- 사랑한단 말로 내 마음을 네게 전하기엔 그 말이 너무 짧은걸 Baby baby baby  두눈 가득 고인 눈 물 조금씩 사라져간 그 미소 내가 찾아줄게 이젠 너에게 슬픔따윈 없을거야 baby baby  두눈 가득고인 눈 물 조금씩 사라져간 그 미소 내가 찾아줄게 이젠 너에게 슬픔따윈 없을거야 이제 너를 두번 다시 놓칠일은 절대없지 내 맘속에 소중하게 너를 간직 이대로 멈추지 않게 yo 놓치지 않게 나의 삶에 외로움은 없어 너와 함께 너를 향한 나를 두고 다른 사람 찾지마 이젠 나를 바라봐 영원토록 나를 봐 바다만큼 깊은 나의 사랑들을 찾아봐 떠나버린 그를 잊고 이젠 나를 따라와
20030417,테이크,Party,male,댄스,-,-,-,씨아이ENT,무대 아래 많은 사람들 나를 향한 함성소릴 느껴봐 멋진 남자 예쁜 여자애 리듬의 바람타고 start the party 눈부신 아침 햇살이 뭔가 예감 하듯이 단잠을 깨우고 잘난척 했던 여자들 같이 party 가자고 전화통 불나고 오늘밤 party 주인공은 나지 내가 빠진 party 재미없을 테지 미리 봐두었던 멋진 옷 사고 친구들을 불렀지 We can rock the party 내맘대로 내뜻대로 이런 기쁨을 함께 느껴봐 멋진 남자 예쁜 여자애 음악의 몸을 싣고 shake your booty 가슴속에 있던 그 얘기 주저하지 말고 내게 말해봐 어떤 얘기 어떤 말들도 받아 줄 수 있어 난 오늘밤엔 got the mic yo 나만을 믿고 죽고 또 마시고 걱정도 말고 길 따라 가듯이 feel 가는 데로 나와 함께 한다면 my feel 대로 Woo Woo 나에 기차를 타고 all night long till the break of awn 이제 내 품에 안겨 do that dance (sound) let me do that dance 오늘밤 party 주인공은 나지 내가 빠진 party 재미없을 테지 미리 봐두었던 멋진 여자와 맞춰 봐봐 뭘 할지 TAKE will rock the party 가슴속에 있던 그 얘기 주저하지 말고 내게 말해봐 어떤 얘기 어떤 말들도 받아 줄 수 있어 난 오늘밤엔 내 맘대로 내 뜻대로 이런 기쁨을 함께 느껴봐 멋진 남자 예쁜 여자애 음악의 몸을 싣고 shake your booty girl 오늘밤 내게 모든 것을 맡겨줘 이밤의 주인공은 나란걸 너 역시 원하고 있어 my girls my girls 튕기지 말고 보여 줘봐 my dogs my dogs 폼 내지 말고 춤춰봐 my girls my girls feel 가는 대로 춤춰봐 my dogs my dogs 날 향해 소릴 질러봐 내 맘대로 내 뜻대로 이런 기쁨을 함께 느껴봐 멋진 남자 예쁜 여자애 음악의 몸을 싣고 shake your booty 내 맘대로 내 뜻대로 이런 기쁨을 함께 느껴봐 멋진 남자 예쁜 여자애 음악의 몸을 싣고 shake your booty
20030417,테이크,Fly Away,male,발라드,-,-,-,씨아이ENT,Even though you're gone I haven't forgotten a thing and I can still feel you close by  and hold on to you I ain't about to let go we can do this. 너에게 전화를 했지 떠나갔던 사실 믿을 수 없어 한 순간에 추억이 되버린 우리가 가야될 길은 다른가봐 (언젠가 너와나) 다시 볼 수 있는 날 위해 내 옆에 있듯이 내곁에 없어도 내 맘은 너와 함께 있어 영원히 내가 유치한건가 두손에 눈을 비비며 잠을 깨듯이 그대 내곁에 있으면 상상을 해 이제 상상밖에 내곁에 없어 널 다시 보길 위해 내가 뭘 못하겠어 왜 항상 가질수 없는 곳에 빠져가 있을까 왜 항상 사랑은 아픔부터 시작하는건가 언제나 너 행복하길 기도할게 언제나 너 다시 돌아올걸 믿고 있을래 Please don`t fly away from me 다시 돌아올 날 올때까지 Baby baby baby baby please 내가 기다리면 너도 그렇게 살겠지 보고 싶은 마음 그리워한 너의 모습은 나에게 가장 소중한 것을 보여주겠어 더 이상 우린 말이 필요없어 나도 알고 있어 시간이 지나갈수록 내가 없는 삶 속 익숙해지겠지 그래도 난 이대로가 나 그까짓 우리사이엔 바다뿐이야 우리사이에 다른거 다 필요없어 우리둘뿐이야 now wants me Take Take Take Control Take Control 기회가 되면 두 번 다시 널 놓칠순 없어 You're everything I ever wanted mind body and soul 날 기억해 잊지 말고 조금만 기다려줘 Please don`t fly away from me 다시 돌아올 날 올때까지 Baby baby baby baby please 내가 기다리면 너도 그렇게 살겠지 보고 싶은 마음 그리워한 너의 모습은 나에게 가장 소중한 것을 보여주겠어 더 이상 우린 말이 필요없어 난 여기 서있어 달력앞에 보고 또 보고 지워가는 날들 널 볼수 있는 날 오기전까지 이렇게 지내고 너무나 힘들어 기다리는건 널 미치게 보고 싶어 어쩔수 없는 우리의 슬픈 운명속 기다릴게 언제나 돌아와 - Please don`t fly away from me 다시 돌아올 날 올때까지 Baby baby baby baby please 내가 기다리면 너도 그렇게 살겠지 보고 싶은 마음 그리워한 너의 모습은 나에게 가장 소중한 것을 보여주겠어 더 이상 우린 말이 필요없어 Please don`t fly away from me 다시 돌아올 날 올때까지 Baby baby baby baby please 내가 기다리면 너도 그렇게 살겠지 보고 싶은 마음 그리워한 너의 모습은 나에게 가장 소중한 것을….
20030417,테이크,Ring,male,댄스,-,-,-,씨아이ENT,그대 떠나버리면 나는 어떡하라고 이제와서 왜 이래 이젠 떠날게 아무말도 하지마 그앤 어떡하라고 너무 가슴이 아파 어떡해야 해 한없이 너를 그릴땐 넌 없었잖아 너없이 난 안된다며 넌 떠났잖아 차라리 죽고 말겠다던 날 너는 떠나가 우~ no baby baby 그대의 숨결조차 그립던 오 나를 떠나가 우~ 워~ 그대여 그대 떠나버리면 나는 어떡하라고 이제와서 왜 이래 이젠 떠날게 아무말도 하지마 그앤 어떡하라고 너무 가슴이 아파 어떡해야 해 언제나 나 항상 너에게 다가갈 수 없게 날 처음부터 날 택하지 않았다면하는 바램뿐 내가 힘겨워하던 나를 위한 상처뿐 너의 덫에서 나를 떠날 수 없게 해 처음부터 널 다시는 내곁으로 올 수도 없게 바라볼 수도 없게 그렇게해야 해야 해야해야 했어 왜 자꾸만 힘들게 해 제발 나를 사랑한다는게 그 언제였나 다신 너를 볼 수 없게 난 눈을 감아 나의 모든것 그래 모든건 네게서 떠날 수 있다면 뭐든 포기해 내가 부탁할게 이제 다시 날 찾지 않겠다고 내게 약속해 모든것 그래 모든건 네게서 떠날 수 있다면 뭐든 포기해 하지만 사랑하는 그녀만은 잃지 않도록 내가 지켜야만 해 그대의 사랑안에 갇혀있었지 피빛에 물든 아픔에 기억 이젠 너를 위한 나일꺼라 생각하지마 이젠 내 사랑을 지키고 싶어 오~ 그대 떠나버리면 나는 어떡하라고 이제와서 왜 이래 이젠 떠날게 아무말도 하지마 그앤 어떡하라고 너무 가슴이 아파 어떡해야 해
