년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20030925,에스,Prayer,male,발라드,-,-,-,(주)SM엔터테인먼트,언제나 투정뿐이던 내 어리석었던 좁고 작았던 나의 모습과 내 사랑을 더 크게 했었죠 쉽지 않았던 차갑기만 하던 세상 앞에 무릎 꿇을 때 알지 못했던 깨닫지 못했던 사랑이 날 일으켰었죠 말할게요 그대를 향해 듣고 있나요 내 사랑을 모자라겠지만 부족한 나지만 내 맘 늘 그대뿐이죠 길었었던 나의 방황과 내 좌절 끝엔 그대가 있었죠 말할게요 그대를 향해 듣고 있나요 내 사랑을 모자라겠지만 부족한 나지만 언제나 기다릴게요 절망의 고통은 그대가 내게 주셨던 커다란 선물이겠죠 감사해요 내 많은 날들을 기다림이란가르침까지  어려움 속에 지쳐가겠지만 사랑해요 그대가 있기에 언제나 내 곁에 있어줘요
20030925,에스,I Believe,male,발라드,-,신혜성,송광식,(주)SM엔터테인먼트,Everytime I look into your eyes forever I believe you always will be mine How much I need your love Don''t leave me alone I''ll never let you go
20030925,에스,에메랄드,male,발라드,-,-,-,(주)SM엔터테인먼트,-
20050905,에스,숨,male,"발라드, 국내영화",-,강타 (KANGTA),강타 (KANGTA),(주)SM엔터테인먼트,숨이 막혀와 뼛속까지  멍든 아픔을 따라  어느새 식어간  너의 차가웠던 마지막 목소리  미쳐버린 듯 자꾸 흔들리는 눈동자  희미해져버린 듯 그 무엇도 볼 수가 없어  눈을 감아도 두 귀를 막아도  머리를 비워도 애써 참아내도  어쩔 수 없는 건 어리석은 가슴이  말을 듣지 않아서 이토록  보고 싶은데 미칠 것 같은데  사랑했는데 지금도 같은데  어쩔 수 없는 건 나의 모자란 사랑  이것밖에 안돼서  보고 싶은데 미칠것 같은데 사랑했는데  난 지금도 같은데  어쩔수 없는건 나의 모자란 사랑 이것밖에 안돼서  나의 모자란 사랑 이것밖에 안돼서
20030925,에스,I Swear,male,발라드,-,-,-,(주)SM엔터테인먼트,아직 마르지 않는 눈물  내게 유난히 길던 밤들 슬픔이 모두 마르기 전에  기억을 모두 지우기 전에 I swear my everything in my heart 슬픔이 전부라 해도 눈물뿐이라도 I swear my love that you're everlasting 기다림이 전부라도 슬픔뿐이라도 기다려 사랑해 사랑해 just wanna give you my heart 비가 내렸으면 좋겠어  햇살 좋은날엔 니가 더 보고싶어 시간이 빨리 가면 좋겠어  니가 없는 난 하루가 일년 같아 시간이 흘러 널 잊게되면  난 누군갈 또 만나겠지 헤어짐이 슬픈 건  모두 잊겠단 약속인걸 I swear my everything in my heart 슬픔이 전부라 해도 눈물뿐이라도 I swear my love that you're everlasting 기다림이 전부라도 슬픔뿐이라도 기다려 사랑해 사랑해 just wanna give you my heart 좀더 차가웠음 좋겠어  따뜻했던 모습 기억도 나지 않게 니가 죽었으면 좋겠어  작은 희망도 가질 수 가 없도록 사랑이란 걸 너뿐이란 걸  떠난 후에야 알게됐지만 내가 할 수 있는 건  오직 이별 뿐 이라는 걸 사랑이라는 거 이제야 알았어 언제까지라도 기다려 영원히 언제나 I swear my everything in my heart 슬픔이 전부라 해도 눈물뿐이라도 I swear my love that you're everlasting 기다림이 전부라도 슬픔뿐이라도 I swear my Everything in my heart 슬픔이 전부라 해도 눈물뿐이라도 I swear my love that you're everlasting 기다림이 전부라도 슬픔뿐이라도 기다려 사랑해 사랑해 just wanna give you my heart 아직 마르지 않는 눈물
20030925,에스,사랑니 (Love Is...),male,발라드,-,-,-,(주)SM엔터테인먼트,많이 아파요 그댄 이런 날 알기나 해요 하루종일 숨을 쉬기가 힘들어  몇 번씩이나 죽을 뻔했죠 알기는 하나요 나만큼 일거라고 기대도 하진 않지만 그래도 조금 아주 조금은 나 때문에  힘이 들거나 아프다거나 그러지 않나요 보고싶은데 정말 보고싶은데  이젠 이런 마음 전할 수가 없죠 아프기만 한걸요 두렵기만 한걸요  이게 내 몫인가 봐요 내 맘 안되나 봐요 아무리 소리쳐  불러봐도 대답 없는 내 아픔만 잠시뿐 일거라고 내게 위로해 보지만 생각해보면 그대 없이는 안된다던  나의 모습이 조금씩 변하는 건 견딜 수가 없죠 보고싶은데 벌써 보고싶은데  그대가 아니면 안될 것 같은데 아프기만 한걸요 두렵기만 한걸요  이게 내 몫인가 봐요 내 맘 안되나 봐요 아무리 소리쳐  불러봐도 대답 없는 내 아픔만 난 이제 시작인데 그대는 다 끝난건가요 죽을지도 몰라요 이렇게 미쳐가는 내 모습까지도 그대 없이는 내가 아니죠 이렇게 그대를 사랑해요 많이 아파도 그댄 내가 살아가는 이유죠
20030925,에스,미쳤었죠 (Just One Moment),male,발라드,-,-,-,(주)SM엔터테인먼트,미쳤었죠 정말 미쳤었죠  뼛속까지 시렸던 아픔들이 바보였죠 정말 모자랐죠  부족했던 모습까지 다시 돌아온다고  다시 와 줄거라고 니가 있어야만 살 수 있는 걸 왜 모르냐고  니가 없는 난 정말 죽을지 몰라 아직 너의 맘속에 내가 살아있어 미련했죠 정말 미련했죠  부질없던 그 작은 희망들도 올 수 없죠 다신 볼 수 없죠  이제 더는 생각 마요 다시 올 것 같아서 돌아올 것 같아서  마지막이란 걸 믿지 못해서 난 여기있어 가슴이 아파  숨도 못쉴 것 같아  이런 나를 안다면 다시 돌아와줘 니가 힘들 때도 니가 즐거울 때도  니가 외로워할 때도 니가 날 생각할 때도 무조건 다 하필이면 날 만나  남잔 다 똑같다고 피한 니가 They all lie  그대 눈물 흘러 비가 돼서 흐르고  내 가슴엔 맺혀 피가 무조건 다 Livin' la vida loca spanish way sayin' my feelin' 지금 누가 누굴 탓해 단 한순간조차 잊지 못해  네 그림자를 좇아 무조건 다 내 잘못이야 Emotion hesitation of mind  end of happening in seperation 지켜주소서 하늘이여 그녈 지켜주소서 다시 돌아온다고 다시 와 줄 거라고  니가 있어야만 살 수 있는 걸 왜 모르냐고 니가 없는 난  정말 죽을지 몰라  아직 너의 맘속에 내가 살아있어 마지막 모습이 잔인하게도  니가 더 눈부셔 제발 불행해지길 바래  내게 돌아오는 그날까지 미쳤었죠 정말 미쳤었죠  부질없던 그 작은 희망들도 올 수 없죠 또다신 볼 수 없죠  이제 더는 생각 마요
20030925,에스,달이 꾸는 꿈 (Tears Of The Moon),male,발라드,-,-,-,(주)SM엔터테인먼트,지금 어디쯤 인지 잘 지내고 있는지 아픈 곳은 없는지 걱정이 되네요 많이 힘겨웠었죠 눈물 뿐이었었죠 난 늘 바보같게도 어리석게 혼자였었죠 가끔 들리는 그대 소식에 나도 모르게 혼자 울먹이는 날 그대는 알고 있나요 날 기억할까요 기억은 할까요 난 여기 있는데 그 자리에 있는데 어디 쯤 일까요 혹시 날 다시찾을까 언제나 그 자리였죠 언제나 혼자였었죠 난 늘 그랬죠 항상 말이 없었죠 내게 기대는 적없었죠 그래서 더 걱정이죠 그댄 늘 그랬잖아요 때론 세상에 지쳐 힘겨워 울진 않을지 많이 약한 그대가 정말로 괜찮을 까요 날 기억할까요 기억은 할까요 난 여기 있는데 그 자리에 있는데 어디쯤 일까요 혹시 날 다시 찾을까 언제나 그 자리였죠 언제나 혼자 였었죠 난 늘 그랬죠 시간은 모든걸 다 잊게 하는데 전부는 아닌 가봐요 내겐 그대 뿐이죠 난 기다릴께요 난 지켜갈께요 많이 힘이 들때면 많이 지쳐 갈때면 난 여기있어요 이 자리에 있어 줄께요 아주 가끔이라도 아주 잠시라해도 난 기다릴께요 난 지켜갈께요 많이 힘이 들때면 많이 지쳐 갈때면 난 여기 있어요 이 자리에 있어 줄께요 아주 가끔 이라도 아주 잠시라 해도 난 괜찮아요 난 기다릴께요
20030925,에스,몰랐죠 (Stay),male,발라드,-,-,-,(주)SM엔터테인먼트,손을 잡기에는 좀 이르겠죠  그댈 바래다주는 길 난 또 설레이죠  나의 곁에 그대 자꾸 확인하죠  그렇게도 기다리던 정말 그대인지  난 몰랐죠 밤 하늘이  또 이렇게 눈이 부셨단 걸  그댄 모르죠 얼마나 많은 밤들이  그대 모습이었지  많이 아팠나요 이별이 그렇죠  눈물겨운 흔들림을 나도 알고 있죠  기다려 왔어요 그대 눈물 보며 내 곁에서  잊어 갈 수 있도록 조금 더 와 줘요  난 몰랐죠 밤 하늘이  또 이렇게 눈이 부셨단 걸  그댄 모르죠 얼마나 많은 밤들이  그대 모습이었는지  나에게 오는 길 힘겨웠나요 언제나 난 그댈  이 길에서 항상 기다린 걸요 믿어요  난 몰랐죠 힘겨웠던  이 아침이 행복이었단 걸  그댄 모르죠 내겐 너무 멀리 있던  그댈 사랑해 왔단 걸  난 몰랐죠 힘겨웠던  이 아침이 행복이었단 걸  그댄 모르죠 내겐 너무 멀리 있던  그댈 사랑해 왔단 걸
20030925,에스,왜... (I Wass...),male,발라드,-,-,-,(주)SM엔터테인먼트,헤어진다는거 구차하지않게 널 보내 주는거 참 어려웠어 그래서 어떻게든 널 잡고 싶었나봐 지금 생각해 보면 널 잡지 못하고 헤어진 사실보다 우리 헤어질때 내가 널 많이 힘들게 했던게 더 후회가되 가끔들리는 니 소식은 걱정도 고민도 많은거 같아 보여 그래서 걱정되 이런 생각들 때마다 떠올른 어느 시집들 처럼 지금 알고 있는걸 그때도 알았다면 이렇게 아프진 않을텐데 아니었는데 너를 붙잡는게 아니였는데 사랑했던 시간만큼 이라도 아름답게 남겨둬야 했는데 왜 바보처럼 오랜 기다림끝에 너의 연락을 받았어 새삼 어느때 보다 행복했어 그렇게 다시 보게된 너도 내 모습을 보며 옛생각과 또 그대로인 내맘에 행복해 하는것 같았어 우린서로가 또 다른 추억을 만들수 있을 거라 다짐했어 하지만 왜 그랬는지 널 다시보게 된 순간부터 내맘속엔 또다른 이기심이 생기기시작했어 나와 헤어져 있는동안 조금은 달라진 니모습에 적잖은 화도내고 많은 부담을 줬나봐 그러는게 아니었는데 내 이기심에 널 또 보내고 말았어 아니었는데 너를 붙잡는게 아니엇는데 사랑했던 시간만큼 이라도 아름답게 남겨둬야 했는데 왜 바보처럼 아니었는데 너를 붙잡는게 아니었는데 사랑했던 시간만큼이라도 아름답게 남겨둬야 했는데 왜 바보처럼 요즘은 널 다 잊엇다생각하고 지내 하지만 가끔 술에 취한날엔 그런날엔 니가 많이 보고싶어져 미안해 이런 나쁜 버릇 고쳐야 하는데 너 내가 이러는거 싫어 하잖아 이제와서 이런 얘기하는 내가 우습겟지만 그 후 1년이란 시간동안 많은 생각과 또 다른 후회를 했어 그래 이젠 돌이킬수 없는 것도 널 다시 볼수없다는 것도 다 알아 다른건 아냐 다만 그저 니가 보고싶어 사랑했는데 너를 보내는게 아니었는데 소중했던 너를 잡지못해도 다시 보내는게 아니였는데 왜 바보처럼 사랑했는데 너를 보내는게 아니였는데 소중했던 너를 잡지 못 해도 다시 보내는게 아니였는데 왜 바보처럼 사랑했는데 너를 보내는게 아니였는데 소중했던 너를 잡지 못해도
20030925,에스,Never Knew,male,발라드,-,-,-,(주)SM엔터테인먼트,I''ll give you my heart life  is nothing without love to share and I don''t wanna be along Just come back to me 미안해 What I feel in my Heart  난 너를 놓지 않겠어  언젠가 내게 말했지 지쳐있던 거라고 어젠 비 오던 너의 창에 나의 모습 가려져 더 많은 것을 원했던 마음 줄 순 없지만 너는 나의 곁에서 항상 아무렇지도 않겠지  다시 긴 날의 슬픔이 지나쳐도 나는 아무런 상관없어  내 오랜 방황의 끝에 서 있어 줘  너만을 기다린 나의 곁으로 Remember your eyes 기도할게  너만의 꿈을 말해 줘 또 많은 것을 알겠지 기대어 쉴 수 있도록 너는 나의 곁에서 항상 먼 곳만 바라보았지 다시 달라진 바람 느낄 때쯤  넌 저만치 멀어져 있었지 하지만 시간이 흘러 변할 거라 믿었던  나의 맘 알고있는지  이젠 나를 떠나가지마  지나쳤던 우리 기억들을 믿어봐 오랫동안 널 바라온  나를 쉴 수 있게 다시 긴 날의 슬픔이 지나쳐도  나는 아무런 상관없어  내 오랜 방황의 끝에 서 있어 줘  너만을 기다린 나의 곁으로 다시 달라진 바람 느낄 때쯤  넌 저만치 멀어져 있었지 하지만 시간이 흘러 변할 거라  믿었던 나의 맘 알고있는지
20030925,에스,사랑밖에 모르죠 (Love Is What I Need),male,발라드,-,-,-,(주)SM엔터테인먼트,사랑에 지쳐 힘들어 할 때 서로를 위로했죠 좋은 사람을 만날꺼라며 술잔을 기울였죠 오오오 어떤 일이 생겨도 한 사람을 지켜주자고 이번엔 놓치지 말자고 멋있게 그녈 사랑하자고 약속했죠 우린 사랑밖에 모르죠 가끔 바보 같기도 하죠 사랑하는 일이 세상을 사는 이유라고 믿고 있죠 정말 잘할 자신 있어요 그대 곁에 있고 싶어요 내맘을 느껴요 영원히 함께 하겠어요 오오오 어떤 일이 생겨도 한 사람을 지켜주자고 이번엔 놓치지 말자고 멋있게 그녈 사랑하자고 약속했죠 우린 사랑밖에 모르죠 가끔 바보 같기도 하죠 사랑하는 일이 세상을 사는 이유라고 믿고 있죠 정말 잘할 자신 있어요 그대 곁에 있고 싶어요 내맘을 느껴요 영원히 함께 하겠어요 이젠 외로워 하지 말아요
20030925,에스,Sentimental,male,발라드,-,-,-,(주)SM엔터테인먼트,고요해진 밤하늘에 조용해진 별빛아래  조금 차가운 바람이 내 어깨를 스칠 때면  쓸쓸한 내 모습이 소리 없이 비춰주는 말이 없이 감싸주는  나지막이 들려오는 우리 같이 듣던 그 노래가 내 귓가에 들리면 왜 그랬는지 그땐 전하지 못했던 내 맘 바보  같은 후회만 초라했었던 내 모습이 널 더욱  힘들게만 하는걸 왜 몰랐었는지 추억이 지난 그 자리에 눈물뿐이던 내 모습이 다 하지 못한 사랑이 후회로만 남는 이 밤 사랑했었던 시간들은 모두 지운 채로 살아가야 하지만 다만 한가지 우리 헤어지지 말았어야  한 건 아닌지 많이 궁금했었어 추억이 지난 그 자리에 눈물뿐이던 내 모습이 다 하지 못한 사랑이 후회로만 남는 이 밤 조금씩 지워가겠죠 그대  추억조차 잊어가겠죠  단 한번만  잊을 수 있다면 하루만 편안할 수 있다면 다신 볼 수 없는 그대
20030925,에스,Prayer,male,발라드,-,-,-,(주)SM엔터테인먼트,언제나 투정뿐이던 내 어리석었던 좁고 작았던 나의 모습과 내 사랑을 더 크게 했었죠 쉽지 않았던 차갑기만 하던 세상 앞에 무릎 꿇을 때 알지 못했던 깨닫지 못했던 사랑이 날 일으켰었죠 말할게요 그대를 향해 듣고 있나요 내 사랑을 모자라겠지만 부족한 나지만 내 맘 늘 그대뿐이죠 길었었던 나의 방황과 내 좌절 끝엔 그대가 있었죠 말할게요 그대를 향해 듣고 있나요 내 사랑을 모자라겠지만 부족한 나지만 언제나 기다릴게요 절망의 고통은 그대가 내게 주셨던 커다란 선물이겠죠 감사해요 내 많은 날들을 기다림이란가르침까지  어려움 속에 지쳐가겠지만 사랑해요 그대가 있기에 언제나 내 곁에 있어줘요
