년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20041008,제이엔씨,하루가 지나고 (Remix),male,댄스,-,김재덕,김세진,키스엔터테인먼트,이제서야 나의 맘을 너에게 전하는데 너는 왜 이런 나를 떠나가야 했는지 why 나를 다시 울려 다시 왜왜 why 나를 다시 울려 왜 다시 너를 붙잡고 싶어도 다시 너를 안아보고 싶어도 너무 가슴 아파 눈물이나 사랑한 너 이기에 이해했었나 이제와 후회하는 바보같은 나 네 기억이 조금씩 잊혀질까봐 사실 그게 나는 두려워 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘 아직 난 울고 있는데 울고 있는 내게서 더 멀어져가고 다 지난 일이라 해도 잠시 내 모습을 생각해 이젠 되돌릴 수 없음에 난 또 한심한 이 한숨에 나를 가둬 내 어두웠던 슬픔 그대로 니가 날 다시 기억할 수 있게 내 곁에 웃고 있는 그 사람 보며 가끔씩 너의 모습 떠올리곤 해 잘 알지만 이러면 안된다는 걸 너도 나와 같길 바랄뿐 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘 한 순간 내 전부였지만 이제는 널 보내줘야 할 것 같아 그만큼 더 아프겠지만 너만 행복할 수 있다면 난 시간이 흐르고 시간이 흘러도 조금씩 잊어야만 하겠지 아무리 지워도 아무리 지우려 해도 그럴수록 더욱 그리워 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘
20041008,제이엔씨,Kiss Friend,male,댄스,-,안성준,안성준,키스엔터테인먼트,yo this is click B We are all is B yo friends the kiss friends 지치고 힘들어 걱정하지마 내말 들어 행복은 너의 손끝에 있으니 나와 함께 키스를 KISS 프렌즈 우리 모두의 꿈은 서로 다르지만 꿈을 이루겠다는 예 마음은 모두다 똑같아 키스 프렌즈 지금 힘들다고 해서 절대 좌절하지마 저 앞에서 우리 대신 달리고 있는 그들처럼 절대 포기하지마 마지막순간까지 뒤를 보지말고 뛰어 우리와 함께 Never 흩어지지마 우리는 잘해낼수가 있어 왜 나만 힘드냐고 실망은 하지마 만일 쓰러진다 해도 난 너를 원망하지 않을 거야 Don't give it up 마지막까지 키스프렌즈 그 앞에 선택이 없을 만큼 저 넓고 넓은 하늘 만큼 우리는 앞으로 전진 힘껏 크게 소리쳐 oh yo 꿈 가지려 니 생각만해 불타는 가슴속에 야망과 훨훨 타오르게 힘차게 우리지키자 Your my girl 어차피 힘든세상 나에게만 운명처럼 먹구름이 왔다 하여도 포기해서는 안돼 이룰수 없는 꿈이라도 희망을 버려서는 안돼 꿈을 꼭 이룰꺼야 이다음에는 그 의미만으로도 우리는 이긴거야 꿈 우리의 꿈이 이제 이루어진거야 Don't give it up and all for in come 우리는 쓰러지지 않을거야 꿈은 이루어지는 거야 키스 프렌즈 이 넓고 넓은 세상 속에서 우리에게 주어진 수많은 Chance 쓰러지면 어 일어나 우리는 원망하지않아 손을 내밀어 앞으로 앞으로 힘차게 주저하지마 패배자 다시 일어나 승리자 달리는 그 의미만으로도 우리는 이긴거야 꿈 우리의 꿈이 이제 이루어진거야 Give it up and all for in come 우리는 쓰러지지 않을거야 꿈은 이루어지는 거야 키스 프렌즈 세상을 원망하지마 다시 일어나 마지막 순간까지 포기하면 안돼 힘들고 어려운 작은 세상만을 보지말아 앞으로 펼쳐질 크고 넓은 세상만을 바라봐 왜 나에게만 힘들까 이런 생각 따윈 버려봐 세상을 원망하지마 너의 꿈을 펼쳐봐 Don't give it up and over it come 우리는 쓰러지지 않을 거야 꿈은 이루어지는 거야 키스 프렌즈
20041008,제이엔씨,너의 의미 (Duet With 장수원 & 오종혁),male,발라드,-,서정진,김세진,키스엔터테인먼트,어울리지 않게 눈물을 흘린 건 슬픈 영화 때문은 아냐 그 때가 생각이 나서야 길을 걷다 문득 음악 소리에 발을 멈춘건 내겐 정말 낯선 일이야 내 가슴 어딘가 멍든 것처럼 아파와 거울을 보니 보이지 않는 아픔만이 남아 나 이렇게 아픈 건 나 이토록 슬픈 건 네 생각이 나서야 네가 떠올라서야 네가 보고 싶어서 너무 그리워서 나 알게 된거야 이제야 너의 의미를 길을 걷다 문득 음악소리에 발을 멈춘건 내겐 정말 낯선 일이야 가슴 어딘가 멍든 것처럼 아파와 거울을 보니 보이지 않는 아픔만이 남아 나 이렇게 아픈 건 나 이토록 슬픈 건 네 생각이 나서야 네가 떠올라서야 네가 보고 싶어서 너무 그리워서 나 알게 된거야 이제야 너의 의미를 이미 떠난 걸 잘 아는데 난 다 잊었다 생각 했는데 이렇게 다시 네가 떠오르는 걸 네가 보고 싶은 걸 내게로 돌아와 줘 한 번 더 시간을 줘 나를 잊었겠지만 기억조차 못하겠지만 도대체 난 너에게 어떤 의미였는지 알게 됐어 난 이제야 나의 의미를 너에게 가장 소중한 나란걸
20030908,제이엔씨,Cowboy,male,댄스,-,오종혁,오종혁,키스엔터테인먼트,주위의 사람들이 뭐라 하던 상관없지 (후)  영화속 주인공처럼 살 꺼야 난  (히-하) 마음가는 대로 사는 거지  (누가) 욕을 해도 신경 꺼 그만  모두 다들 다 똑같지 맞춰 놓은 듯해  먹고 자고 일어나고 정해 논 일정에  맞춰 가는 빡빡한 삶일 뿐이야  답답한 일상 따윈 무시하는 대담한 난 Cowboy  Oh yeh  바람 따라 구름 따라 떠도는 My name  화산 속에 (yeh) 불꽃처럼 (oh)  나타나는 Cowboy  Oh yeh 풀려버린 멍한 그 눈빛만으로 (Yeh)  나를 막을 순 없어  모두들 나를 보며 미쳤다해도 (그래도)  신경 쓰지 않아 누가 뭐래도  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  나는 Cowboy  Oh yeh 때론 누가 내게 별자릴 물을 때면  자신 있게 대답하지 나 Cowboy 자리요  Oh yeh 그런 내게 모두들 쯧쯧 거리며  (Yeh) 정신 차리라 하지  모두들 나를 이해 못한다해도 (그래도)  신경 쓰지 않아 누가 뭐래도  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  나는 Cowboy  날 모두가 말리려 하지만  똑같은 삶을 사는 사람들과는 확실히 다른 나를  yeh 지킬 거야 yeh  뻔한 일상들은 이젠 너무 식상해  나는 Cowboy 이제 wow 보이지 않니  내 손안에 있는 멋진 자유로움이  멍하니 시키는 대로 살지 말고 (hey)  자신 있는 Cowboy 인생으로 come on  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  (I Said Cowboy) 내가 가는 길을 막지마  (Cowboy) 내가 하는 데로 두고봐  (Cowboy) 내가 누군 지도 잊지마  Cowboy Cowboy  (I Said cowboy) 내가 가는 길을 막지마  (Say Cowboy yeh) 내가 하는 데로 두고봐  (Say Cowboy yeh) 내가 누군 지도 묻지마
20030908,제이엔씨,Cowboy,male,댄스,-,오종혁,오종혁,키스엔터테인먼트,주위의 사람들이 뭐라 하던 상관없지 (후)  영화속 주인공처럼 살 꺼야 난  (히-하) 마음가는 대로 사는 거지  (누가) 욕을 해도 신경 꺼 그만  모두 다들 다 똑같지 맞춰 놓은 듯해  먹고 자고 일어나고 정해 논 일정에  맞춰 가는 빡빡한 삶일 뿐이야  답답한 일상 따윈 무시하는 대담한 난 Cowboy  Oh yeh  바람 따라 구름 따라 떠도는 My name  화산 속에 (yeh) 불꽃처럼 (oh)  나타나는 Cowboy  Oh yeh 풀려버린 멍한 그 눈빛만으로 (Yeh)  나를 막을 순 없어  모두들 나를 보며 미쳤다해도 (그래도)  신경 쓰지 않아 누가 뭐래도  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  나는 Cowboy  Oh yeh 때론 누가 내게 별자릴 물을 때면  자신 있게 대답하지 나 Cowboy 자리요  Oh yeh 그런 내게 모두들 쯧쯧 거리며  (Yeh) 정신 차리라 하지  모두들 나를 이해 못한다해도 (그래도)  신경 쓰지 않아 누가 뭐래도  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  나는 Cowboy  날 모두가 말리려 하지만  똑같은 삶을 사는 사람들과는 확실히 다른 나를  yeh 지킬 거야 yeh  뻔한 일상들은 이젠 너무 식상해  나는 Cowboy 이제 wow 보이지 않니  내 손안에 있는 멋진 자유로움이  멍하니 시키는 대로 살지 말고 (hey)  자신 있는 Cowboy 인생으로 come on  I Said Cowboy  Oh 영화처럼 사는 거야 난 무법자가 되는 거야  그렇게 나를 바꿔 가는 걸  I Said Cowboy  Oh 내 멋대로 산다해도  Oh 아무도 막을 수 없는 석양의 무법자  (I Said Cowboy) 내가 가는 길을 막지마  (Cowboy) 내가 하는 데로 두고봐  (Cowboy) 내가 누군 지도 잊지마  Cowboy Cowboy  (I Said cowboy) 내가 가는 길을 막지마  (Say Cowboy yeh) 내가 하는 데로 두고봐  (Say Cowboy yeh) 내가 누군 지도 묻지마
20041008,제이엔씨,Intro,male,댄스,-,이윤성,이윤성,키스엔터테인먼트,-
20041008,제이엔씨,힘을 내요,male,댄스,-,우연석,안성준,키스엔터테인먼트,지금 이 순간 우리 함께해  together together 힘을 내요  함께있다면 할 수 있어요  여러분 힘을 내요   축 쳐져버린 어깨와 검게 타버린  네 마음을 잊어 보는 건 어때  더 넓게 바라봐 이 세상은 아직은  살 만한 곳이라는 것을 알잖아   너와 나 함께라면 두려운 건 없어 애써 현실에  따라 갈 필요는 없어 됐어 이제부터야  지난 시간은 다 잊고 다시 시작해   그래 다시 시작해 처음부터 지금까지  그래 다시 시작해  아이부터 어른까지 사랑에 지쳐 힘든 연인들  일에 지치신 아버지들 공부에 지친 학생들  모두 다 pur your hands up 이제 stand up  포기하지 않기로 해 never give up  함께라면 모든 걸 다 할 수 있어 믿어봐  잊어봐 한숨들은 이제 웃음 뒤로   이제 힘을 내요 다함께 있잖아요  자 웃어봐요 우리 모두 하나되어  이제 힘을 내요 가슴을 활짝펴고  하늘을 향해 크게 소리쳐 봐요  행복한 이 시간에 함께 할 수 있어 감사해  영원히 지금처럼 서로를 바라보며 웃을 수 있게 yo  지금 이 행복한 순간을 남기자 하하  이 순간을 영원히 간직해  이 웃음들은 나 그리고  너의 것이라는 것을 잊지마   누구나 힘이 들어 말없이 주저앉고 싶을땐  가만히 귀기울여 지금의 이 노래 속에 웃을 수 있게   모두에게 조금만 더 좋은 너와 내가 되어 함께해  이제 한숨은 내 웃음뒤에 가려  다시 기억 할 수 없게해(없게해)  어때 내 말에 모두 하나 되었잖아 함께해   이제 힘을 내요 다함께 있잖아요  자 웃어봐요 우리 모두 하나되어  이제 힘을 내요 가슴을 활짝펴고  하늘을 향해 크게 소리쳐봐요  지금 이 순간 우리 함께해  together together 힘을 내요  함께 있다면 할 수 있어요  always in your heart   이제 힘을내요 다 함께 있잖아요  자 웃어봐요 우리 모두 하나되어  이제 힘을 내요 가슴을 활짝 펴고  하늘을 향해 크게 소리쳐봐요   손에 손을 잡고 서로를 바라봐요  자 웃어 봐요  우리 모두 하나되어  손에 손을 잡고 서로를 바라봐요  하늘을 향해 크게 소리쳐봐요   함께한다면 우린 할 수 있어요
20041008,제이엔씨,하루가 지나고,male,발라드,-,김재덕,김세진,키스엔터테인먼트,이제서야 나의 맘을 너에게 전하는데 너는 왜 이런 나를 떠나가야 했는지 (Why) 나를 다시 울려 다시 왜왜 (Why) 나를 다시 울려 왜 다시 너를 붙잡고 싶어도 다시 너를 안아보고 싶어도 오오오오오 오오오오 너무 가슴 아파 난 (눈물이 나) 사랑한 너이기에 이해했었나 이제와 후회하는 바보 같은 나 네 기억이 조금씩 잊혀질까봐 사실 그게 나는 두려워 하루가 지나고 하루가 지나도  더욱 더 그리워만 지는데 가슴이 아파서 아파서 미칠 것 같아 그만 편안히 날 보내줘 아직 난 울고 있는데  너는 내게서 더 멀어져가고 Hey 다 지난 일이라 해도  잠시 내 모습을 생각해 이젠 (되돌릴 수 없음에) 난 또 (한심한 이 한숨에) 나를 가둬 내 어두웠던 슬픔 그대로 니가 날 다시 기억할 수 있게 내 곁에 웃고 있는 그 사람 보며- 가끔씩 너의 모습 떠올리곤 해- 잘 알지만 이러면 안된다는 걸 너도 나와 같길 바랄 뿐 하루가 지나고 하루가 지나도  더욱 더 그리워만 지는데 가슴이 아파서 아파서 미칠 것 같아 그만 편안히 날 보내줘 한 순간 내 전부였지만  이제는 널 보내줘야 할 것 같아 그만큼 더 아프겠지만  너만 행복할 수 있다면 난 시간이 흐르고 시간이 흘러도  조금씩 잊어야만 하겠지 아무리 지워도 아무리 지우려해도  그럴수록 더욱 그리워 하루가 지나고 하루가 지나도  (힘든 나날이 계속된 내 사랑은 끝났어) 더욱더 그리워만 지는데  (내 가슴은 아프지만 내 가슴은 아프지만) 가슴이 아파서 아파서 미칠 것 같아  (힘든 나날이 계속된 내 사랑은 끝났어) 그만 편안히 날 보내줘  (내 가슴은 아프지만 내 가슴은 아프지만) (가슴은 아프지만)
20041008,제이엔씨,But...,male,발라드,-,오종혁,오종혁,키스엔터테인먼트,태연한 척 네게 말했어  끝이라고 난 날 잊으라고  보고싶지 않을 거라고  아무렇지도 않다고 내겐 너무 쉽다고  맺혀가는 눈물 감추려 고개숙인 널  두고 돌아서는 내 눈이 흐려와  잘해주지 못해 미안했다며  널 떠나버렸지 하지만  자꾸 난 맘에 걸려 내가 없인 웃는 것 조차도 하지 못할 바보이기에  혹시라도 나 보고 싶어 울지 않을까  괜한 걱정을 해  너와 내 사랑은 다 끝나버린 이야기  날 기억하지마 날 찾지마  다 끝난 이야기 말하지마 어긋난 이야기  더 이상 내 눈을 보지 마  내 맘을 너에게 말할 수 없잖아  That was only love 사랑일 뿐이야  That was only love 여기까지만  친구를 통해 전해 들었어  어두웠던 네가 이젠 나를 잊은 것 같다고  정말 다행이야 이젠 네 걱정 안 해도 되니까 더 이상  그래 난 잘한거야 나 없이도 행복해 하잖아 그토록 바란 일이잖아  이제야 난 널 보내줄 수 있게 됐는데  자꾸 눈물이 나  너를 이렇게 보내지만 난 하늘에 감사해  마지막 네 행복한 미소를 보며  눈 감을 수 있으니까  자꾸 난 맘에 걸려 내가 없인 웃는 것 조차도 하지 못할 바보이기에  혹시라도 나 보고 싶어 울지 않을까  괜한 걱정을 해  그래 난 잘한 거야 나 없이도 행복해 하잖아 그토록 바란 일이잖아  이제야 난 널 보내줄 수 있게 됐는데  자꾸 눈물이 나 That was only love 여기까지만  That was only love 사랑일 뿐이야  That was only love 여기까지만  That was only love
20041008,제이엔씨,넌 모르는데,male,발라드,-,이택승,이택승,키스엔터테인먼트,내가 거짓말 했어 내가 짖궂게 했어 날 잊을까봐 차마 말은 못하고 지겹도록 참았어 미안하단 말 and I miss you 너무 후회가 돼서 말하려고 왔는데 그냥 웃고 말죠 술한번 사라하죠 그렇게 바라는 것도 없는 니가 미워질 뿐이죠 지금도 사랑이라고 난 말은 못하지만 너의 사람이 또 널 아프게 할까봐 두려워져 싫은데 싫은데 넌 모르는데 너무 보고 싶어서 수화기를 들었는데 왜 전화를 끊죠 난 너를 알기에 그녀석을 너무 잘 알고 있기에 용서할 뿐이죠 지금도 사랑이라고 난 말은 못하지만 너의 사람이 또 널 아프게 할까봐 두려워져 싫은데 싫은데 넌 모르는데 왜 난 웃음이 나오는건지 사랑해 사랑해 이 말하고 싶은데 지금도 사랑이라고 난 말은 못하지만 너의 사람이 또 널 아프게 할까봐 두려워져 싫은데 싫은데 넌 모르는데 지금도 너의 이별을 난 바라고 있지만 둘다 아파하는 건 더욱더 싫어져 행복하게 살아줘 그래야 돌아서도 쓸쓸하지 않죠
20041008,제이엔씨,널 사랑한다고... (짝사랑),male,발라드,-,우연석,하현곤,키스엔터테인먼트,나 이제 말할게 널 사랑한다고 넌 아니 생각없이 흘린 너의 웃음을 몰래 마음속에 담아 숨겨 왔다는 걸 넌 알고 있니 이런 나를 멀어지는 뒷모습 보면 나 혼자 안녕 널 잊을꺼라 말을해도 뒤돌아 날 보며 미소 지으면 또 가슴이 뛰는데 나는 괜찮아 바라 보기만 했던 난 조금은 더 너를 기다릴 수 있어 나는 괜찮아 혹시 내 맘을 알아도 내가 아니라도 아무 말 없이 지금 처럼만 난 괜찮아 조금도 널 힘들게 하지않을께 기억하니 우리 처음 만난 그 날 내게 난 아무 말도 못했지만 이제는 말할께 나의 마음을 난 널 사랑한다고 이젠 괜찮아 바라 보기만 할께 난 조금도 널 힘들게 하지않을께 이젠 괜찮아 내 마음을 알잖아 그저 이대로만 아무말 없이 이렇게 네게 말해 보려고 했지만 조금도 날 바라봐 주지 않는데 나는 괜찮아 바라보기만 했던 난 조금은 더 너를 기다릴 수 있어 나는 괜찮아 혹시 내 맘을 알아도 내가 아니라도 아무 말 없이 지금 처럼만
20041008,제이엔씨,기억,male,발라드,-,서정진,서정진,키스엔터테인먼트,Love 사랑같은건 내겐 고통일뿐이야 아무 대답없는 널 바라보는 것처럼 그것처럼 그토록 많은 시간들을 아무것도 아닌것처럼 모두 까맣게 다 잊으라고 정말 사랑한다했던건 오직 너뿐이라했던건 지금 내앞에 있는 니가 아닌거니 떠나지 말라고해도 마지막이래도 넌 그저 미안하단 말 뿐야 You 니가 원한다면 진정 니가 그러고 싶다면 나 기억상실이라도 걸린 사람처럼 그래줄게 그토록 많은 시간들을 아무것도 아닌것처럼 모두 까맣게 다 잊으라고 정말 사랑한다했던건 오직 너뿐이라했던건 지금 내앞에 있는 니가 아닌거니 떠나지 말라고해도 마지막이래도 넌 그저 미안하단 말 뿐야 아무말이라도 좀 해봐 넌 정말 그 모든걸 다 잊은거니 이젠 내가 너를 잊을게 너의 모든걸 다 지울게 처음부터 우린 서로 몰랐던거야 다만 단 한가지 잊을 수 없는건 누군가를 사랑했다는 그것 정말 사랑했다는 기억
20041008,제이엔씨,I Know,male,발라드,-,이택승,이택승,키스엔터테인먼트,Hey you girl 너 뿐인걸 뒤돌아서야 하지만 너의 그림자를 밞고서 미안하단 말은 왜자꾸만 해야 조금만 더 날 기다려 달라고 지쳐보이는 너의 손을 잡고서 혼자 아파하던 내맘 이해해줘 그래 날 잊을수 있다면 아니면 좋은사람 만날수 있다면 보내주겠어 그래 널 보내주겠어 oh yes I do 손을 흔들어 줘야돼 눈물 보여서도 안돼 내 모두 였던 girl 하지만 아무래도 이건 아니라고 붙잡고 말하고 너를 감싸줘야만 해 아파도 너무 아파도 hey 젖어든 두 눈이 너를 말해주고 있어 그래 날 잊을수 있다면 아니면 좋은 사람 만날수 있다면 보내 주겠어 그래 널 보내주겠어 No oh yes I do 손을 흔들어 줘야되 눈물 보여서도 않되 내 모두 였던 girl 하지만 아무래도 이건 아니라고 붙잡고 말하고 너를 감싸줘야만 해 아파도 너무 아파도 hey 젖어든 두 눈이 너를 말해주고 있어 너만 생각하면 난 눈물이 흘러나와서 어떻게 해야 할지 모르겠지만 Yes I know 다시돌이킬수 없어 시간을 돌리고싶어 그리고 다가가 후회뿐이라고 눈물 뿐이라고 이건 아니라고 널 사랑한다고 다시 말하고 멀어지려하는 차가운 너에게 손을 흔들어 줘야해 눈물보여서도 안돼 내 모두 였던 girl 하지만 아무래도 이건 아니라고 붙잡고 말하고 너를 감싸줘야만 해 아파도 너무 아파도 hey 젖어든 두 눈이 no no no 그래 눈물로만 살겠지 그래 너 뿐일꺼야 그래 상처로만 남겠지 그래 넌 아닐꺼야
20041008,제이엔씨,Burning life,male,댄스,-,이택승,이택승,키스엔터테인먼트,yo this is about my life this is how about feel it's all about the burning life 내가 만든 무비 속 라운드 디렉터 누군가 만들어둔 루즈 낫 브레이커 bring it come on 여지껏 지켜온 내 인생과 rock on the rock the mic a phone like a told you 따라가기 보다 나는 혼자 그래 예전부터 나는 혼자 Let me take it 내가 택한 길 후회는 없으니 Let me take it 내가 택한 길 후회는 없으니 come on 왜 아니겠어 뒤돌아 보지말고 Let's go baby everybody listen whole my story 손에 쥘 듯 놓지않은 꿈들 진정 넌 가질 수 없어 너 없어 줄 것도 없어 어디까지 순수하게 멋지게 no no no baby 영화처럼 살고싶어 그래 모두 바꾸고 있는 것 쉽지 않을껄 자신을 버려야 하거든 바보처럼 살기 싫어 처음 맨손으로 go 빈손으로 go 따분하게 굴지말고 쿨 하게 좀 살아 yo come on 나의 삶에 처음부터 성공이란 단어는 없었어 주어진 시간만큼 충실했을 뿐 꿈을 찾아서 나갈때 미래의 태양이 내 삶을 비춰오지 내 feel은 단 한번도 틀린적이 없지 all right 나를 봐 자신감으로 가득찬 my style my life 느낌을 믿어봐 서두를 필요없어 이제 함께 날아봐 that's right 왜 아니겠어 나 폼나게 살고싶어 Let me alone everybody listen take it easy 지킬껀 지켜가며 살지 연출도 없는 무대 위 장르도 없는 노래 너의 맘을 사로잡는 burning life no no no baby 영화처럼 살고싶어 그래 모두 바꾸고 있는 것 쉽지 않을껄 자신을 버려야 하거든 바보처럼 살기 싫어 처음 맨손으로 go 빈손으로 go 따분하게 굴지말고 쿨 하게 좀 살아 bring it on Let me hear you say bring it on Let me hear you say bring it on Let me hear you say 다같이 bring it on 쉴 틈도 주지않고 널 조여오는 세상 속 너의 맘을 사로잡는 burning life 영화처럼 살고싶어 그래 모두 바꾸고 있는 것 쉽지 않을껄 자신을 버려야 하거든 바보처럼 살기 싫어 처음 맨손으로 go 빈손으로 go 따분하게 굴지말고 쿨 하게 좀 살아 영화처럼 살고싶어 그래 모두 바꾸고 있는 것 쉽지 않을껄 자신을 버려야 하거든 바보처럼 살기 싫어 처음 맨손으로 go 빈손으로 go 따분하게 굴지말고 쿨 하게 좀 살아 it's all about burning life
20041008,제이엔씨,힘을 내요 (Remix),male,댄스,-,우연석,안성준,키스엔터테인먼트,축 처져 버린 어깨와 함께 타버린 니 마음을 잊어 보는 건 어때 더 넓게 바라봐 이 세상은 아직은 살 만한 곳이라는 걸 알잖아 너와 나 함께라면 두려울 건 없어 애써 현실에 따라갈 필요는 없어 됐어 이제부터야 지난 시간은 다 잊고 다시 시작해 그래 다시 시작해 처음부터 지금까지 다시 시작해 아이부터 어른까지 사랑에 지쳐 힘든 연인들 일에 지치신 아버지들 공부에 지친 학생들 힘껏 get up 이제 stand up 포기 않기로 해 never give up 함께라면 모든 걸 다 할 수 있어 믿어봐 잊어봐 한숨들은 이제 웃음 뒤로 이제 힘을 내요 다함께 있잖아요 자 웃어봐요 우리 모두 하나되어 이제 힘을 내요 가슴을 활짝펴고 하늘을 향해 크게 소리쳐 봐요 행복한 이 시간에 함께할 수 감사해 영원히 지금처럼 서로를 바라보며 웃을 수 있게 yo 지금 이 행복한 순간을 남기자 이 순간을 영원히 간직해 이 웃음들은 나 그리고 너의 것이란 것을 잊지마 누구나 힘이 들어 말없이 주저 앉고 싶을 때 가만히 귀기울여 지금의 이 모습에 웃을 수 있게 모두에게 조금만 더 좋은 너와 내가 되어 함께해 이제 한숨은 내 웃음뒤에 가려 다시 기억 할 수 없게해 없다네 내 말에 모두 하나 되었잖아 함께해 이제 힘을 내요 다함께 있잖아요 자 웃어봐요 우리 모두 하나되어 이제 힘을 내요 가슴을 활짝펴고 하늘을 향해 크게 소리쳐봐요 지금 이순간 우리 함께해 together together 힘을 내요 함께 있다면 할 수 있어요 이제 힘을내요 다함께 있잖아요 자 웃어봐요 우리 모두 하나되어 이제 힘을 내요 가슴을 활짝 펴고 하늘을 향해 크게 소리쳐봐요 손에 손을 잡고 서로를 바라봐요 자 웃어 봐요 우리모두 하나되어 손에 손을 잡고 서로를 바라봐요 하늘을 향해 크게 소리쳐 봐요
20041008,제이엔씨,하루가 지나고 (Remix),male,댄스,-,김재덕,김세진,키스엔터테인먼트,이제서야 나의 맘을 너에게 전하는데 너는 왜 이런 나를 떠나가야 했는지 why 나를 다시 울려 다시 왜왜 why 나를 다시 울려 왜 다시 너를 붙잡고 싶어도 다시 너를 안아보고 싶어도 너무 가슴 아파 눈물이나 사랑한 너 이기에 이해했었나 이제와 후회하는 바보같은 나 네 기억이 조금씩 잊혀질까봐 사실 그게 나는 두려워 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘 아직 난 울고 있는데 울고 있는 내게서 더 멀어져가고 다 지난 일이라 해도 잠시 내 모습을 생각해 이젠 되돌릴 수 없음에 난 또 한심한 이 한숨에 나를 가둬 내 어두웠던 슬픔 그대로 니가 날 다시 기억할 수 있게 내 곁에 웃고 있는 그 사람 보며 가끔씩 너의 모습 떠올리곤 해 잘 알지만 이러면 안된다는 걸 너도 나와 같길 바랄뿐 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘 한 순간 내 전부였지만 이제는 널 보내줘야 할 것 같아 그만큼 더 아프겠지만 너만 행복할 수 있다면 난 시간이 흐르고 시간이 흘러도 조금씩 잊어야만 하겠지 아무리 지워도 아무리 지우려 해도 그럴수록 더욱 그리워 하루가 지나고 하루가 지나도 더욱더 그리워만 지는데 가슴이 아파서 아파서 미칠것 같아 그만 편안히 날 보내줘
